Team,Wins,Losses,ELO,Conference,Region
Lipscomb,10,10,1262.73,ASUN,South
Little Rock,15,11,1318.48,OVC,Midwest
Long Beach State,11,9,1211.55,Big West,West
Long Island,7,11,1142.85,NEC,East
Longwood,14,11,1275.61,Big South,South
Louisiana,16,8,1425.25,Sun Belt,South
Louisiana Tech,14,10,1345.84,C-USA,South
Louisville,26,4,1791.46,ACC,East
Loyola-Chicago,11,15,1281.33,MVC,Midwest
Loyola-Maryland,0,13,993.92,Patriot,East
Loyola-Marymount,7,19,1152.73,WCC,West
LSU,9,13,1463.55,SEC,South
Maine,17,3,1468.26,America East,East
Manhattan,11,9,1291.96,MAAC,East
Marist,18,4,1504.37,MAAC,East
Marquette,19,7,1610.5,Big East,East
Marshall,8,11,1319.89,Sun Belt,South
Maryland,26,3,1797.77,Big Ten,Midwest
Maryland Eastern Shore,0,0,1171.1,MEAC,South
McNeese,6,15,1033.38,Southland,South
Memphis,4,15,1146.42,AAC,East
Mercer,18,7,1398.73,SoCon,South
Merrimack,5,10,1198.89,NEC,East
Miami (FL),11,11,1475.27,ACC,East
Miami (OH),4,20,1145.11,MAC,Midwest
Michigan,16,6,1656.95,Big Ten,Midwest
Michigan State,15,9,1516.4,Big Ten,Midwest
Middle Tennessee,17,8,1504.83,C-USA,South
Milwaukee,20,8,1422.85,Horizon,Midwest
Minnesota,8,13,1374.06,Big Ten,Midwest
Mississippi State,10,9,1507.15,SEC,South
Mississippi Valley State,4,16,991.05,SWAC,South
Missouri,9,13,1378.37,SEC,South
Missouri State,22,3,1719.44,MVC,Midwest
Monmouth,2,16,1006.87,CAA,East
Montana,11,11,1230.63,Big Sky,West
Montana State,17,7,1469.32,Big Sky,West
Morehead State,6,16,1114.19,OVC,Midwest
Morgan State,12,4,1375.38,MEAC,South
Mount Saint Mary's,17,7,1393.18,NEC,East
Murray State,16,11,1386.71,OVC,Midwest
Navy,5,7,1169.67,Patriot,East
Nebraska,13,13,1452.55,Big Ten,Midwest
Nevada,11,9,1330.25,Mountain West,West
New Hampshire,5,15,1078.02,America East,East
New Mexico,14,5,1380.11,Mountain West,West
New Mexico State,8,12,1198.37,WAC,West
New Orleans,6,15,1108.04,Southland,South
Niagara,4,7,1142.38,MAAC,East
Nicholls,10,14,1214.83,Southland,South
NJIT,4,14,1045.46,America East,East
Norfolk State,4,9,1207.74,MEAC,South
North Alabama,7,18,1163.71,ASUN,South
North Carolina,13,11,1521.56,ACC,East
North Carolina A&T,13,3,1429.34,MEAC,South
North Carolina Central,3,12,1134.74,MEAC,South
North Carolina State,22,3,1798.22,ACC,East
North Dakota,2,19,1050.66,Summit League,Midwest
North Dakota State,15,9,1352.82,Summit League,Midwest
North Florida,13,11,1354.23,ASUN,South
North Texas,13,7,1390.4,AAC,East
Northeastern,7,13,1247.08,CAA,East
Northern Arizona,15,14,1284.5,Big Sky,West
Northern Colorado,14,12,1345.6,Big Sky,West
Northern Illinois,12,12,1349.58,MAC,Midwest
Northern Iowa,17,13,1465.71,MVC,Midwest
Northern Kentucky,8,11,1332.59,Horizon,Midwest
Northwestern,16,9,1604.94,Big Ten,Midwest
Northwestern State,1,19,942.86,Southland,South
Notre Dame,10,10,1513.61,ACC,East
Oakland,12,12,1260.26,Horizon,Midwest
Ohio,15,10,1425.44,MAC,Midwest
Ohio State,13,7,1549.98,Big Ten,Midwest
Oklahoma,12,12,1492.24,Big 12,South
Oklahoma State,19,9,1596.4,Big 12,South
Old Dominion,13,11,1431.33,Sun Belt,South
Ole Miss,15,12,1494.85,SEC,South
Omaha,7,13,1210.98,Summit League,Midwest
Oral Roberts,5,15,1213.19,Summit League,Midwest
Oregon,15,9,1627.5,Pac-12,West
Oregon State,11,8,1638.86,Pac-12,West
Pacific,11,11,1356.73,WCC,West
Penn,0,0,1449.3,Ivy League,East
Penn State,9,15,1326.25,Big Ten,Midwest
Pepperdine,4,18,1133.8,WCC,West
Pittsburgh,5,14,1241.1,ACC,East
Portland,13,13,1341,WCC,West
Portland State,9,13,1234.2,Big Sky,West
Prairie View A&M,3,13,1015.17,SWAC,South
Presbyterian College,11,10,1224.34,Big South,South
Princeton,0,0,1536.8,Ivy League,East
Providence,7,14,1279.77,Big East,East
Purdue,7,16,1308.56,Big Ten,Midwest
Purdue Fort Wayne,1,22,963.13,Horizon,Midwest
Quinnipiac,13,8,1315.93,MAAC,East
Radford,9,11,1274.08,Big South,South
Rhode Island,11,8,1361.96,Atlantic 10,East
Rice,23,4,1650.56,AAC,East
Richmond,13,9,1344.1,Atlantic 10,East
Rider,8,18,1210.47,MAAC,East
Robert Morris,4,13,1207.27,Horizon,Midwest
Rutgers,14,5,1585.49,Big Ten,Midwest
Sacramento State,3,22,1015.88,Big Sky,West
Sacred Heart,8,10,1162.12,NEC,East
Saint Bonaventure,6,15,1137.14,Atlantic 10,East
Saint Francis (NY),4,10,1101.76,NA,NA
Saint Francis (PA),14,9,1269.59,NEC,East
Saint John's,8,15,1327.76,Big East,East
Saint Joseph's,6,10,1204.21,Atlantic 10,East
Saint Louis,14,5,1525.13,Atlantic 10,East
Saint Mary's College,7,19,1204.39,WCC,West
Saint Peter's,13,15,1246.22,MAAC,East
Sam Houston State,12,8,1396.63,Southland,South
Samford,12,11,1317.03,SoCon,South
San Diego,11,7,1405.26,WCC,West
San Diego State,7,17,1162.47,Mountain West,West
San Francisco,15,11,1455.85,WCC,West
San Jose State,2,2,1360.26,Mountain West,West
Santa Clara,14,11,1351.84,WCC,West
Seattle University,8,14,1127.05,WAC,West
Seton Hall,14,7,1491.3,Big East,East
Siena,4,9,1156.91,MAAC,East
