"Team","Wins","Losses","ELO","Conference","Region"
"Cornell",9,17,1157.79,"Ivy League","East"
"Creighton",22,9,1628.59,"Big East","East"
"Dartmouth",2,26,971.09,"Ivy League","East"
"Davidson",14,16,1318.4,"Atlantic 10","East"
"Dayton",6,21,1251.22,"Atlantic 10","East"
"Delaware",16,14,1294.93,"CAA","East"
"Delaware State",5,19,1046.66,"MEAC","South"
"Denver",11,18,1174.88,"Summit League","Midwest"
"DePaul",16,17,1417.59,"Big East","East"
"Detroit",4,25,1000.78,"Horizon","Midwest"
"Drake",22,10,1561.03,"MVC","Midwest"
"Drexel",21,10,1380.3,"CAA","East"
"Duke",26,7,1697.8,"ACC","East"
"Duquesne",18,12,1336.41,"Atlantic 10","East"
"East Carolina",23,10,1533.08,"AAC","East"
"East Tennessee State",23,10,1360.97,"SoCon","South"
"Eastern Illinois",20,8,1315.26,"OVC","Midwest"
"Eastern Kentucky",15,14,1246.57,"ASUN","South"
"Eastern Michigan",14,15,1273.48,"MAC","Midwest"
"Eastern Washington",17,11,1335.41,"Big Sky","West"
"Elon",9,21,1159.13,"CAA","East"
"Evansville",11,19,1099.03,"MVC","Midwest"
"Fairfield",15,15,1224.66,"MAAC","East"
"Fairleigh Dickinson",24,8,1348.4,"NEC","East"
"FAU",10,18,1119.38,"AAC","East"
"FGCU",31,4,1669.7,"ASUN","South"
"FIU",13,19,1232.82,"C-USA","South"
"Florida",19,15,1494.29,"SEC","South"
"Florida A&M",5,23,980.77,"SWAC","South"
"Florida State",23,10,1553.63,"ACC","East"
"Fordham",18,13,1427.74,"Atlantic 10","East"
"Fresno State",8,22,1070.29,"Mountain West","West"
"Furman",8,19,1105.15,"SoCon","South"
"Gardner-Webb",29,5,1515.37,"Big South","South"
"George Mason",16,15,1366.99,"Atlantic 10","East"
"George Washington",17,13,1359.22,"Atlantic 10","East"
"Georgetown",13,17,1341.38,"Big East","East"
"Georgia",22,12,1619.3,"SEC","South"
"Georgia Southern",18,10,1349.55,"Sun Belt","South"
"Georgia State",10,21,1149.81,"Sun Belt","South"
"Georgia Tech",13,17,1389.09,"ACC","East"
"Gonzaga",28,5,1636.65,"WCC","West"
"Grambling State",10,20,1138.31,"SWAC","South"
"Grand Canyon",19,10,1373.01,"WAC","West"
"Green Bay",28,6,1578.38,"Horizon","Midwest"
"Hampton",11,18,1235.24,"CAA","East"
"Hartford",0,26,783.41,NA,NA
"Harvard",20,12,1512.72,"Ivy League","East"
"Hawaii",18,15,1413.21,"Big West","West"
"High Point",15,15,1279,"Big South","South"
"Hofstra",11,20,1157.05,"CAA","East"
"Holy Cross",23,9,1437.91,"Patriot","East"
"Houston",15,16,1480.32,"Big 12","South"
"Houston Christian",8,18,1049.76,"Southland","South"
"Howard",16,14,1312.89,"MEAC","South"
"Idaho",13,17,1239.51,"Big Sky","West"
"Idaho State",9,19,1134.97,"Big Sky","West"
"Illinois",22,10,1502.92,"Big Ten","Midwest"
"Illinois State",23,9,1481.86,"MVC","Midwest"
"Incarnate Word",11,14,1187.42,"Southland","South"
"Indiana",28,4,1765.57,"Big Ten","Midwest"
"Indiana State",11,19,1131.54,"MVC","Midwest"
"Iona",26,7,1475.21,"MAAC","East"
"Iowa",31,7,1881.28,"Big Ten","Midwest"
"Iowa State",22,10,1680.17,"Big 12","South"
"IUPUI",17,13,1365.42,"Horizon","Midwest"
"Jackson State",21,10,1427.7,"SWAC","South"
"Jacksonville",9,17,1122.57,"ASUN","South"
"Jacksonville State",14,14,1247.34,"OVC","Midwest"
"James Madison",25,8,1509.67,"Sun Belt","South"
"Kansas",25,11,1663.32,"Big 12","South"
"Kansas State",19,17,1471.6,"Big 12","South"
"Kennesaw State",13,16,1237.46,"ASUN","South"
"Kent State",19,11,1475.76,"MAC","Midwest"
"Kentucky",12,19,1385.96,"SEC","South"
"La Salle",17,13,1337.77,"Atlantic 10","East"
"Lafayette",10,19,1120.64,"Patriot","East"
"Lamar",17,12,1306.69,"Southland","South"
"Lehigh",16,14,1335.4,"Patriot","East"
"Liberty",22,9,1505.22,"C-USA","South"
"Lindenwood",1,24,895.52,"OVC","Midwest"
"Lipscomb",17,12,1345.86,"ASUN","South"
"Little Rock",21,11,1414.36,"OVC","Midwest"
"Long Beach State",22,10,1405.47,"Big West","West"
"Long Island",7,22,1043.46,"NEC","East"
"Longwood",9,21,1150.31,"Big South","South"
"Louisiana",13,15,1259.75,"Sun Belt","South"
"Louisiana Tech",18,13,1385.04,"C-USA","South"
"Louisville",26,12,1734.24,"ACC","East"
"Loyola-Chicago",6,24,1081.33,"MVC","Midwest"
"Loyola-Maryland",10,21,1072.31,"Patriot","East"
"Loyola-Marymount",6,23,1118.37,"WCC","West"
"LSU",34,2,1899.64,"SEC","South"
"Maine",16,14,1295.88,"America East","East"
"Manhattan",16,17,1305.41,"MAAC","East"
"Marist",12,18,1121.06,"MAAC","East"
"Marquette",21,11,1577.05,"Big East","East"
"Marshall",15,14,1315.54,"Sun Belt","South"
"Maryland",28,7,1802.92,"Big Ten","Midwest"
"Maryland Eastern Shore",7,20,1112.31,"MEAC","South"
"McNeese",10,19,1114.92,"Southland","South"
"Memphis",22,11,1554.88,"AAC","East"
"Mercer",11,15,1268.97,"SoCon","South"
"Merrimack",14,16,1190.42,"NEC","East"
"Miami (FL)",22,13,1653.66,"ACC","East"
"Miami (OH)",11,19,1249.83,"MAC","Midwest"
"Michigan",23,10,1606.15,"Big Ten","Midwest"
"Michigan State",16,14,1474.49,"Big Ten","Midwest"
"Middle Tennessee",28,5,1627.72,"C-USA","South"
"Milwaukee",11,19,1215.62,"Horizon","Midwest"
"Minnesota",11,19,1294.15,"Big Ten","Midwest"
"Mississippi State",22,11,1574.06,"SEC","South"
"Mississippi Valley State",2,27,840.93,"SWAC","South"
"Missouri",18,14,1445.06,"SEC","South"
"Missouri State",20,12,1423.66,"MVC","Midwest"
"Monmouth",17,16,1338.37,"CAA","East"
"Montana",12,16,1265.99,"Big Sky","West"
"Montana State",19,11,1374.16,"Big Sky","West"
"Morehead State",9,20,1074.32,"OVC","Midwest"
"Morgan State",14,12,1229.41,"MEAC","South"
"Mount Saint Mary's",11,19,1159.56,"NEC","East"
"Murray State",14,16,1254.83,"OVC","Midwest"
"Navy",1,29,884.93,"Patriot","East"
"Nebraska",18,15,1503.87,"Big Ten","Midwest"
"Nevada",9,21,1158.19,"Mountain West","West"
"New Hampshire",6,21,983.6,"America East","East"
"New Mexico",20,13,1418.07,"Mountain West","West"
"New Mexico State",16,17,1319.55,"WAC","West"
"New Orleans",8,20,1044.68,"Southland","South"
"Niagara",18,13,1359.91,"MAAC","East"
"Nicholls",4,24,908.06,"Southland","South"
"NJIT",13,16,1148.13,"America East","East"
"Norfolk State",25,7,1428.49,"MEAC","South"
"North Alabama",12,15,1246.56,"ASUN","South"
"North Carolina",22,11,1640.85,"ACC","East"
"North Carolina A&T",15,12,1280.77,"MEAC","South"
"North Carolina Central",12,16,1189.23,"MEAC","South"
"North Carolina State",20,12,1595.61,"ACC","East"
"North Dakota",17,13,1279.94,"Summit League","Midwest"
"North Dakota State",17,12,1278.86,"Summit League","Midwest"
"North Florida",5,20,1066.51,"ASUN","South"
"North Texas",10,20,1235.66,"AAC","East"
"Northeastern",19,12,1397.72,"CAA","East"
"Northern Arizona",20,14,1390.49,"Big Sky","West"
"Northern Colorado",11,18,1161.68,"Big Sky","West"
"Northern Illinois",16,17,1267.52,"MAC","Midwest"
"Northern Iowa",23,10,1516.16,"MVC","Midwest"
"Northern Kentucky",17,14,1322.49,"Horizon","Midwest"
"Northwestern",9,21,1262.53,"Big Ten","Midwest"
"Northwestern State",8,18,1042.19,"Southland","South"
"Notre Dame",27,6,1756.69,"ACC","East"
"Oakland",12,17,1187.06,"Horizon","Midwest"
"Ohio",6,23,1158.04,"MAC","Midwest"
"Ohio State",28,8,1754.23,"Big Ten","Midwest"
"Oklahoma",26,7,1693.49,"Big 12","South"
"Oklahoma State",21,12,1549.02,"Big 12","South"
"Old Dominion",21,12,1410.59,"Sun Belt","South"
"Ole Miss",25,9,1679.26,"SEC","South"
"Omaha",13,17,1250.99,"Summit League","Midwest"
"Oral Roberts",11,19,1208.66,"Summit League","Midwest"
"Oregon",20,15,1532.31,"Pac-12","West"
"Oregon State",13,18,1402.94,"Pac-12","West"
"Pacific",14,17,1359.75,"WCC","West"
"Penn",16,12,1387.29,"Ivy League","East"
"Penn State",14,17,1337.07,"Big Ten","Midwest"
"Pepperdine",10,19,1222.69,"WCC","West"
"Pittsburgh",10,20,1301.79,"ACC","East"
"Portland",21,9,1559.66,"WCC","West"
"Portland State",13,16,1241.65,"Big Sky","West"
"Prairie View A&M",12,15,1198.94,"SWAC","South"
"Presbyterian College",11,17,1117.79,"Big South","South"
"Princeton",24,6,1666.29,"Ivy League","East"
"Providence",13,19,1223.1,"Big East","East"
"Purdue",19,11,1507.47,"Big Ten","Midwest"
"Purdue Fort Wayne",13,19,1249.28,"Horizon","Midwest"
"Queens",5,21,994.12,NA,"South"
"Quinnipiac",21,9,1409.81,"MAAC","East"
"Radford",12,17,1168.5,"Big South","South"
"Rhode Island",26,7,1556.96,"Atlantic 10","East"
"Rice",23,9,1444.92,"AAC","East"
"Richmond",21,11,1471.42,"Atlantic 10","East"
"Rider",10,21,1143.32,"MAAC","East"
"Robert Morris",9,19,1134.45,"Horizon","Midwest"
"Rutgers",12,20,1333.9,"Big Ten","Midwest"
"Sacramento State",25,8,1464.54,"Big Sky","West"
"Sacred Heart",18,14,1305.83,"NEC","East"
"Saint Bonaventure",6,26,1082.9,"Atlantic 10","East"
"Saint Francis (NY)",10,19,1122.18,NA,NA
"Saint Francis (PA)",7,22,1031.19,"NEC","East"
"Saint John's",23,9,1537.55,"Big East","East"
"Saint Joseph's",20,11,1392.48,"Atlantic 10","East"
"Saint Louis",17,18,1504.8,"Atlantic 10","East"
"Saint Mary's College",13,18,1249.88,"WCC","West"
"Saint Peter's",0,30,872.18,"MAAC","East"
"Saint Thomas",13,17,1231.4,"Summit League","Midwest"
"Sam Houston State",11,17,1205.64,"Southland","South"
"Samford",10,17,1169.03,"SoCon","South"
"San Diego",18,14,1428.47,"WCC","West"
"San Diego State",21,11,1403.52,"Mountain West","West"
"San Francisco",17,13,1350.16,"WCC","West"
"San Jose State",6,25,1091.28,"Mountain West","West"
"Santa Clara",13,17,1232.6,"WCC","West"
"Seattle University",6,24,1071.42,"WAC","West"
"Seton Hall",19,15,1444.19,"Big East","East"
"Siena",19,13,1296.11,"MAAC","East"
"SIUE",9,22,1116.98,"OVC","Midwest"
"SMU",17,13,1381.09,"AAC","East"
"South Alabama",6,23,1045.64,"Sun Belt","South"
"South Carolina",36,1,1951.99,"SEC","South"
"South Carolina State",3,27,912.8,"MEAC","South"
"South Carolina Upstate",9,20,1077.4,"Big South","South"
"South Dakota",12,16,1248.78,"Summit League","Midwest"
"South Dakota State",29,6,1657.17,"Summit League","Midwest"
"South Florida",27,7,1656.42,"AAC","East"
"Southeast Missouri",13,15,1256.13,"OVC","Midwest"
"Southeastern Louisiana",19,10,1364.25,"Southland","South"
"Southern",16,15,1309.23,"SWAC","South"
"Southern Illinois",12,19,1269.79,"MVC","Midwest"
"Southern Indiana",9,17,1091.53,NA,"South"
"Southern Miss",19,10,1395.25,"C-USA","South"
"Southern Utah",21,10,1502.19,"WAC","West"
"Stanford",29,6,1747.65,"Pac-12","West"
"Stephen F. Austin",25,7,1518.1,"Southland","South"
"Stetson",11,20,1174.43,"ASUN","South"
"Stonehill",8,20,1036.38,"NEC","East"
"Stony Brook",18,13,1314.68,"CAA","East"
"Syracuse",20,13,1539.08,"ACC","East"
"Tarleton State",6,21,1035.71,"WAC","West"
"TCU",8,23,1261.2,"Big 12","South"
"Temple",11,18,1272.44,"AAC","East"
"Tennessee",25,12,1736.37,"SEC","South"
"Tennessee-Martin",13,17,1199.27,"OVC","Midwest"
"Tennessee State",8,18,1085.98,"OVC","Midwest"
"Tennessee Tech",21,10,1437.17,"OVC","Midwest"
"Texas",26,10,1702.28,"Big 12","South"
"Texas A&M",9,20,1353.27,"SEC","South"
"Texas A&M-Commerce",13,19,1143.61,"Southland","South"
"Texas A&M-Corpus Christi",16,12,1269.4,"Southland","South"
"Texas Southern",2,27,926.45,"SWAC","South"
"Texas State",20,10,1415.28,"Sun Belt","South"
"Texas Tech",20,15,1448.76,"Big 12","South"
"Toledo",29,5,1709.3,"MAC","Midwest"
"Towson",21,12,1425.67,"CAA","East"
"Troy",16,13,1321.84,"Sun Belt","South"
"Tulane",17,14,1388.92,"AAC","East"
"Tulsa",17,13,1321.84,"AAC","East"
"UAB",12,17,1241.51,"AAC","East"
"UC Davis",14,14,1315.22,"Big West","West"
"UC Irvine",23,7,1432.14,"Big West","West"
"UC Riverside",5,25,1040.46,"Big West","West"
"UC San Diego",13,17,1188.28,"Big West","West"
"UC Santa Barbara",19,12,1308.03,"Big West","West"
"UCF",14,15,1344.28,"Big 12","South"
"UCLA",27,10,1691.42,"Pac-12","West"
"UIC",19,17,1271.49,"MVC","Midwest"
"ULM",4,23,978.99,"Sun Belt","South"
"UMass",27,7,1590.96,"Atlantic 10","East"
"UMass-Lowell",5,22,1064.72,"America East","East"
"UMBC",13,15,1198.3,"America East","East"
"UMKC",7,23,1109.04,"WAC","West"
"UNC Asheville",10,19,1117.83,"Big South","South"
"UNCG",13,14,1279.99,"SoCon","South"
"UNCW",4,24,982.11,"CAA","East"
"UNLV",30,3,1649.6,"Mountain West","West"
"USC",21,10,1551.59,"Pac-12","West"
"UTA",13,17,1266.52,"Sun Belt","South"
"Utah",27,5,1737.52,"Pac-12","West"
"Utah State",3,26,959,"Mountain West","West"
"Utah Tech",17,12,1274.83,"WAC","West"
"Utah Valley",4,24,1018.87,"WAC","West"
"UTEP",20,12,1361.83,"C-USA","South"
"UTRGV",11,18,1183.66,"WAC","West"
"UTSA",13,19,1325.98,"AAC","East"
"Valparaiso",7,23,1133.12,"MVC","Midwest"
"Vanderbilt",12,19,1330.31,"SEC","South"
"VCU",7,22,1146.82,"Atlantic 10","East"
"Vermont",24,7,1492.88,"America East","East"
"Villanova",30,7,1728.48,"Big East","East"
"Virginia",15,15,1355.85,"ACC","East"
"Virginia Tech",31,5,1863.24,"ACC","East"
"Wagner",13,15,1090.1,"NEC","East"
"Wake Forest",17,17,1438.55,"ACC","East"
"Washington",19,15,1515.58,"Pac-12","West"
"Washington State",23,11,1661.93,"Pac-12","West"
"Weber State",6,25,1012.26,"Big Sky","West"
"West Virginia",19,12,1543.79,"Big 12","South"
"Western Carolina",6,21,1003.53,"SoCon","South"
"Western Illinois",8,20,1097.34,"Summit League","Midwest"
"Western Kentucky",19,14,1427.58,"C-USA","South"
"Western Michigan",11,17,1273.92,"MAC","Midwest"
"Wichita State",18,15,1360.96,"AAC","East"
"William & Mary",18,13,1361.83,"CAA","East"
"Winthrop",7,22,1005.28,"Big South","South"
"Wisconsin",11,20,1348.82,"Big Ten","Midwest"
"Wofford",19,10,1359.59,"SoCon","South"
"Wright State",7,24,1178.75,"Horizon","Midwest"
"Wyoming",21,11,1461.02,"Mountain West","West"
"Xavier",7,23,1103.59,"Big East","East"
"Yale",13,14,1344.83,"Ivy League","East"
"Youngstown State",17,11,1326.52,"Horizon","Midwest"
