"Team","Wins","Losses","ELO","Conference","Region"
"Abilene Christian",12,15,1225.45,"WAC","West"
"Air Force",11,18,1193.5,"Mountain West","West"
"Akron",15,13,1325.01,"MAC","Midwest"
"Alabama",20,11,1503.63,"SEC","South"
"Alabama A&M",14,15,1194.58,"SWAC","South"
"Alabama State",15,15,1222.58,"SWAC","South"
"Albany",22,12,1398.02,"MAAC","East"
"Alcorn State",10,17,1088.78,"SWAC","South"
"American",9,22,1152.34,"Patriot","East"
"Appalachian State",9,20,1202.97,"Sun Belt","South"
"Arizona",22,10,1606.24,"Pac-12","West"
"Arizona State",8,20,1283.45,"Pac-12","West"
"Arkansas",24,13,1563.36,"SEC","South"
"Arkansas-Pine Bluff",13,17,1225.75,"SWAC","South"
"Arkansas State",12,19,1242.42,"Sun Belt","South"
"Army",12,17,1239.28,"Patriot","East"
"Auburn",16,15,1441.27,"SEC","South"
"Austin Peay",16,12,1319.34,"ASUN","South"
"Ball State",25,9,1521.1,"MAC","Midwest"
"Baylor",20,13,1569.07,"Big 12","South"
"Bellarmine",7,22,1075.99,"ASUN","South"
"Belmont",23,12,1559.55,"MVC","Midwest"
"Bethune-Cookman",11,18,1117.72,"SWAC","South"
"Binghamton",11,17,1084.25,"America East","East"
"Boise State",15,16,1298.4,"Mountain West","West"
"Boston College",16,17,1413.51,"ACC","East"
"Boston University",24,9,1438.16,"Patriot","East"
"Bowling Green",30,7,1623.18,"MAC","Midwest"
"Bradley",3,28,991.23,"MVC","Midwest"
"Brown",10,15,1202.36,"Ivy League","East"
"Bryant",7,21,1023.86,"America East","East"
"Bucknell",13,17,1233.3,"Patriot","East"
"Buffalo",12,15,1314.88,"MAC","Midwest"
"Butler",11,19,1278.82,"Big East","East"
"BYU",15,17,1356.13,"Big 12","South"
"Cal Poly",9,18,1115.65,"Big West","West"
"Cal State Bakersfield",8,23,1067.01,"Big West","West"
"Cal State Fullerton",14,16,1222.02,"Big West","West"
"Cal State Northridge",7,24,1038.8,"Big West","West"
"California",13,17,1368.42,"Pac-12","West"
"California Baptist",22,13,1486.38,"WAC","West"
"Campbell",14,15,1186.44,"CAA","East"
"Canisius",9,21,1064.96,"MAAC","East"
"Central Arkansas",6,18,1045.97,"ASUN","South"
"Central Connecticut",7,22,948.5,"NEC","East"
"Central Michigan",6,23,1112.41,"MAC","Midwest"
"Charleston",9,18,1148.74,"CAA","East"
"Charleston Southern",4,25,937.05,"Big South","South"
"Charlotte",12,19,1237.57,"AAC","East"
"Chattanooga",18,13,1360.88,"SoCon","South"
"Chicago State",4,21,980.69,"NEC","East"
"Cincinnati",9,21,1178.2,"Big 12","South"
"Clemson",19,16,1484.07,"ACC","East"
"Cleveland State",30,5,1589.64,"Horizon","Midwest"
"Coastal Carolina",12,16,1267.46,"Sun Belt","South"
"Colgate",15,14,1222.99,"Patriot","East"
"Colorado",25,9,1683.11,"Pac-12","West"
"Colorado State",18,12,1385.4,"Mountain West","West"
"Columbia",28,6,1641.24,"Ivy League","East"
"Connecticut",31,6,1793.94,"Big East","East"
"Coppin State",8,22,1066.44,"MEAC","South"
