"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Abilene Christian",13,13,1300.48,"WAC","West",1200
"Air Force",17,14,1483.62,"Mountain West","West",1238.70967741935
"Akron",16,12,1502.08,"MAC","Midwest",1257.14285714286
"Alabama",20,14,1702.17,"SEC","South",1270.58823529412
"Alabama A&M",15,14,1395.34,"SWAC","South",1213.79310344828
"Alabama State",14,15,1396.13,"SWAC","South",1186.20689655172
"Albany",22,10,1510.59,"MAAC","East",1350
"Alcorn State",2,22,1022.6,"SWAC","South",866.666666666667
"American",23,9,1608.74,"Patriot","East",1375
"Appalachian State",12,12,1422.28,"Sun Belt","South",1200
"Arizona",21,8,1746.84,"Pac-12","West",1379.31034482759
"Arizona State",12,14,1536.86,"Pac-12","West",1169.23076923077
"Arkansas",18,14,1648.4,"SEC","South",1250
"Arkansas-Pine Bluff",12,16,1252.35,"SWAC","South",1142.85714285714
"Arkansas State",9,16,1240.08,"Sun Belt","South",1088
"Army",15,13,1400.55,"Patriot","East",1228.57142857143
"Auburn",10,18,1428.62,"SEC","South",1085.71428571429
"Austin Peay",18,13,1390.95,"ASUN","South",1264.51612903226
"Ball State",20,13,1570.8,"MAC","Midwest",1284.84848484848
"Baylor",28,7,1879.13,"Big 12","South",1440
"Bellarmine",2,24,1056.48,"ASUN","South",861.538461538462
"Belmont",23,8,1685.58,"MVC","Midwest",1393.54838709677
"Bethune-Cookman",4,21,1173.1,"SWAC","South",928
"Binghamton",7,20,1192.52,"America East","East",1007.40740740741
"Boise State",6,21,1206.44,"Mountain West","West",977.777777777778
"Boston College",21,12,1657.64,"ACC","East",1309.09090909091
"Boston University",17,14,1472.42,"Patriot","East",1238.70967741935
"Bowling Green",16,16,1490.58,"MAC","Midwest",1200
"Bradley",3,23,1215.06,"MVC","Midwest",892.307692307692
"Brown",5,20,1152.35,"Ivy League","East",960
"Bryant",9,22,1224.97,"America East","East",1032.25806451613
"Bucknell",24,10,1582.58,"Patriot","East",1364.70588235294
"Buffalo",25,9,1703.36,"MAC","Midwest",1388.23529411765
"Butler",1,27,1115.87,"Big East","East",828.571428571429
"BYU",26,4,1791.2,"Big 12","South",1493.33333333333
"Cal Poly",3,22,1129.09,"Big West","West",896
"Cal State Bakersfield",4,20,1201.09,"Big West","West",933.333333333333
"Cal State Fullerton",11,18,1235.01,"Big West","West",1103.44827586207
"Cal State Northridge",7,19,1194.98,"Big West","West",1015.38461538462
"California",10,13,1402.39,"Pac-12","West",1147.82608695652
"California Baptist",23,9,1508.92,"WAC","West",1375
"Campbell",20,8,1518.16,"CAA","East",1371.42857142857
"Canisius",6,25,1132.72,"MAAC","East",954.838709677419
"Central Arkansas",6,19,1176.5,"ASUN","South",992
"Central Connecticut",6,20,1113.83,"NEC","East",984.615384615385
"Central Michigan",4,25,1209.41,"MAC","Midwest",910.344827586207
"Charleston",16,13,1442.83,"CAA","East",1241.37931034483
"Charleston Southern",2,26,996.38,"Big South","South",857.142857142857
"Charlotte",22,10,1666.91,"AAC","East",1350
"Chattanooga",7,23,1145,"SoCon","South",986.666666666667
"Chicago State",4,23,1069.61,"NEC","East",918.518518518518
"Cincinnati",11,17,1401.27,"Big 12","South",1114.28571428571
"Clemson",10,21,1450.08,"ACC","East",1058.06451612903
"Cleveland State",19,9,1546.02,"Horizon","Midwest",1342.85714285714
"Coastal Carolina",12,11,1326.41,"Sun Belt","South",1217.39130434783
"Colgate",6,24,1155.06,"Patriot","East",960
"Colorado",22,9,1733.96,"Pac-12","West",1367.74193548387
"Colorado State",19,12,1479.5,"Mountain West","West",1290.32258064516
"Columbia",25,7,1681.22,"Ivy League","East",1425
"Connecticut",30,6,1994.48,"Big East","East",1466.66666666667
"Coppin State",15,13,1294.5,"MEAC","South",1228.57142857143
"Cornell",8,16,1267.01,"Ivy League","East",1066.66666666667
"Creighton",23,10,1749.38,"Big East","East",1357.57575757576
"Dartmouth",3,23,1156.64,"Ivy League","East",892.307692307692
"Davidson",18,15,1454,"Atlantic 10","East",1236.36363636364
"Dayton",26,6,1750.63,"Atlantic 10","East",1450
"Delaware",23,8,1687.15,"CAA","East",1393.54838709677
"Delaware State",0,24,970.38,"MEAC","South",800
"Denver",8,20,1256.34,"Summit League","Midwest",1028.57142857143
"DePaul",22,11,1642.63,"Big East","East",1333.33333333333
"Detroit",1,27,995.76,"Horizon","Midwest",828.571428571429
"Dixie State",6,19,1204.76,NA,NA,992
"Drake",19,14,1583.35,"MVC","Midwest",1260.60606060606
"Drexel",28,6,1690.93,"CAA","East",1458.82352941176
"Duke",17,13,1580.77,"ACC","East",1253.33333333333
"Duquesne",11,18,1332.4,"Atlantic 10","East",1103.44827586207
"East Carolina",11,18,1346.61,"AAC","East",1103.44827586207
"East Tennessee State",6,22,1161.38,"SoCon","South",971.428571428571
"Eastern Illinois",14,14,1378.99,"OVC","Midwest",1200
"Eastern Kentucky",11,16,1306.37,"ASUN","South",1125.92592592593
"Eastern Michigan",6,20,1272.35,"MAC","Midwest",984.615384615385
"Eastern Washington",7,21,1227.25,"Big Sky","West",1000
"Elon",17,12,1468.07,"CAA","East",1268.96551724138
"Evansville",7,22,1161.6,"MVC","Midwest",993.103448275862
"Fairfield",25,7,1647.21,"MAAC","East",1425
"Fairleigh Dickinson",19,12,1408.16,"NEC","East",1290.32258064516
"FAU",3,25,1153.15,"AAC","East",885.714285714286
"FGCU",27,3,1808.48,"ASUN","South",1520
"FIU",12,16,1351.74,"C-USA","South",1142.85714285714
"Florida",21,11,1697.9,"SEC","South",1325
