"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Florida A&M",3,24,1041.59,"SWAC","South",888.888888888889
"Florida State",17,14,1684.63,"ACC","East",1238.70967741935
"Fordham",18,11,1546.18,"Atlantic 10","East",1296.55172413793
"Fresno State",9,18,1327.13,"Mountain West","West",1066.66666666667
"Furman",18,14,1385.25,"SoCon","South",1250
"Gardner-Webb",16,15,1419.42,"Big South","South",1212.90322580645
"George Mason",10,19,1285.71,"Atlantic 10","East",1075.86206896552
"George Washington",12,18,1374.74,"Atlantic 10","East",1120
"Georgetown",9,19,1319.24,"Big East","East",1057.14285714286
"Georgia",21,10,1739.58,"SEC","South",1341.93548387097
"Georgia Southern",15,10,1406.07,"Sun Belt","South",1280
"Georgia State",8,16,1268.05,"Sun Belt","South",1066.66666666667
"Georgia Tech",21,11,1673.63,"ACC","East",1325
"Gonzaga",27,7,1807.33,"WCC","West",1435.29411764706
"Grambling State",14,17,1323.83,"SWAC","South",1161.29032258065
"Grand Canyon",20,10,1509.6,"WAC","West",1333.33333333333
"Green Bay",19,8,1585.67,"Horizon","Midwest",1362.96296296296
"Hampton",13,16,1304.95,"CAA","East",1158.62068965517
"Hartford",4,26,1081.97,NA,NA,906.666666666667
"Harvard",13,14,1426.96,"Ivy League","East",1185.18518518519
"Hawaii",20,10,1570.39,"Big West","West",1333.33333333333
"High Point",15,14,1422.77,"Big South","South",1213.79310344828
"Hofstra",7,20,1265.56,"CAA","East",1007.40740740741
"Holy Cross",19,11,1493.01,"Patriot","East",1306.66666666667
"Houston",18,16,1618.43,"Big 12","South",1223.52941176471
"Houston Baptist",13,11,1352.26,NA,NA,1233.33333333333
"Howard",20,10,1503.7,"MEAC","South",1333.33333333333
"Idaho",13,18,1433.96,"Big Sky","West",1135.48387096774
"Idaho State",17,12,1471.66,"Big Sky","West",1268.96551724138
"Illinois",7,20,1280.38,"Big Ten","Midwest",1007.40740740741
"Illinois State",18,14,1583.11,"MVC","Midwest",1250
"Incarnate Word",11,17,1264.05,"Southland","South",1114.28571428571
"Indiana",24,9,1825.57,"Big Ten","Midwest",1381.81818181818
"Indiana State",10,20,1258.08,"MVC","Midwest",1066.66666666667
"Iona",11,16,1273.59,"MAAC","East",1125.92592592593
"Iowa",24,8,1860.38,"Big Ten","Midwest",1400
"Iowa State",28,7,1836.49,"Big 12","South",1440
"IUPUI",24,5,1717.66,"Horizon","Midwest",1462.06896551724
"Jackson State",23,7,1625.52,"SWAC","South",1413.33333333333
"Jacksonville",12,13,1344.07,"ASUN","South",1184
"Jacksonville State",22,8,1556.7,"OVC","Midwest",1386.66666666667
"James Madison",14,15,1471.58,"Sun Belt","South",1186.20689655172
"Kansas",21,10,1704.43,"Big 12","South",1341.93548387097
"Kansas State",20,13,1645.08,"Big 12","South",1284.84848484848
"Kennesaw State",8,19,1225.83,"ASUN","South",1037.03703703704
"Kent State",17,12,1516.43,"MAC","Midwest",1268.96551724138
"Kentucky",19,12,1811.47,"SEC","South",1290.32258064516
"La Salle",16,12,1454.48,"Atlantic 10","East",1257.14285714286
"Lafayette",12,18,1340.82,"Patriot","East",1120
"Lamar",12,15,1322.84,"Southland","South",1155.55555555556
"Lehigh",18,11,1461.27,"Patriot","East",1296.55172413793
"Liberty",25,5,1644.26,"C-USA","South",1466.66666666667
"Lipscomb",6,20,1204.26,"ASUN","South",984.615384615385
"Little Rock",15,10,1495.2,"OVC","Midwest",1280
"Long Beach State",18,9,1411.39,"Big West","West",1333.33333333333
"Long Island",9,18,1270.31,"NEC","East",1066.66666666667
"Longwood",22,12,1575.71,"Big South","South",1317.64705882353
"Louisiana",15,7,1542.78,"Sun Belt","South",1345.45454545455
"Louisiana Tech",19,12,1551.5,"C-USA","South",1290.32258064516
"Louisville",29,5,1941.27,"ACC","East",1482.35294117647
"Loyola-Chicago",17,12,1500,"MVC","Midwest",1268.96551724138
"Loyola-Maryland",5,24,1105.28,"Patriot","East",937.931034482759
"Loyola-Marymount",10,19,1331.82,"WCC","West",1075.86206896552
"LSU",26,6,1854.16,"SEC","South",1450
"Maine",20,12,1534.96,"America East","East",1300
"Manhattan",21,11,1489.28,"MAAC","East",1325
"Marist",8,21,1186.05,"MAAC","East",1020.68965517241
"Marquette",23,11,1680.9,"Big East","East",1341.17647058824
"Marshall",13,13,1465.9,"Sun Belt","South",1200
"Maryland",23,9,1845.16,"Big Ten","Midwest",1375
"Maryland Eastern Shore",9,16,1269.05,"MEAC","South",1088
"McNeese",10,15,1226.26,"Southland","South",1120
"Memphis",16,12,1445.18,"AAC","East",1257.14285714286
"Mercer",23,7,1608.33,"SoCon","South",1413.33333333333
"Merrimack",9,17,1201.89,"NEC","East",1076.92307692308
"Miami (FL)",21,13,1777.31,"ACC","East",1294.11764705882
"Miami (OH)",8,21,1224.07,"MAC","Midwest",1020.68965517241
"Michigan",25,7,1847.49,"Big Ten","Midwest",1425
"Michigan State",15,15,1587.23,"Big Ten","Midwest",1200
"Middle Tennessee",27,8,1705.73,"C-USA","South",1417.14285714286
"Milwaukee",14,16,1440.56,"Horizon","Midwest",1173.33333333333
"Minnesota",15,18,1535.19,"Big Ten","Midwest",1163.63636363636
"Mississippi State",15,14,1567.94,"SEC","South",1213.79310344828
"Mississippi Valley State",4,22,1057.68,"SWAC","South",923.076923076923
"Missouri",18,13,1589.39,"SEC","South",1264.51612903226
"Missouri State",24,8,1696.34,"MVC","Midwest",1400
"Monmouth",14,16,1202.78,"CAA","East",1173.33333333333
"Montana",18,11,1408.07,"Big Sky","West",1296.55172413793
"Montana State",20,13,1532.95,"Big Sky","West",1284.84848484848
"Morehead State",0,27,982.84,"OVC","Midwest",800
"Morgan State",16,8,1463.87,"MEAC","South",1333.33333333333
"Mount Saint Mary's",15,13,1422.18,"NEC","East",1228.57142857143
"Murray State",20,10,1488.87,"OVC","Midwest",1333.33333333333
"Navy",10,21,1262.87,"Patriot","East",1058.06451612903
"Nebraska",24,9,1714.24,"Big Ten","Midwest",1381.81818181818
"Nevada",18,13,1442.21,"Mountain West","West",1264.51612903226
"New Hampshire",6,21,1138.27,"America East","East",977.777777777778
"New Mexico",25,10,1566.48,"Mountain West","West",1371.42857142857
"New Mexico State",8,19,1193.65,"WAC","West",1037.03703703704
"New Orleans",4,18,1124.67,"Southland","South",945.454545454545
"Niagara",15,15,1371.46,"MAAC","East",1200
"Nicholls",2,22,1020.82,"Southland","South",866.666666666667
"NJIT",15,15,1291.97,"America East","East",1200
"Norfolk State",16,12,1404.96,"MEAC","South",1257.14285714286
"North Alabama",10,15,1293.36,"ASUN","South",1120
"North Carolina",25,7,1829.8,"ACC","East",1425
"North Carolina A&T",14,15,1363.2,"MEAC","South",1186.20689655172
"North Carolina Central",3,20,1096.76,"MEAC","South",904.347826086957
"North Carolina State",32,4,1997.62,"ACC","East",1511.11111111111
"North Dakota",13,15,1304.99,"Summit League","Midwest",1171.42857142857
"North Dakota State",9,18,1314.99,"Summit League","Midwest",1066.66666666667
"North Florida",10,17,1336.59,"ASUN","South",1096.2962962963
"North Texas",16,13,1499.64,"AAC","East",1241.37931034483
"Northeastern",14,18,1310.7,"CAA","East",1150
"Northern Arizona",17,14,1458.59,"Big Sky","West",1238.70967741935
"Northern Colorado",14,16,1413.28,"Big Sky","West",1173.33333333333
"Northern Illinois",14,15,1509.3,"MAC","Midwest",1186.20689655172
"Northern Iowa",22,11,1605.52,"MVC","Midwest",1333.33333333333
"Northern Kentucky",20,8,1515.73,"Horizon","Midwest",1371.42857142857
"Northwestern",17,12,1638.28,"Big Ten","Midwest",1268.96551724138
"Northwestern State",8,14,1130.27,"Southland","South",1090.90909090909
"Notre Dame",24,9,1816.9,"ACC","East",1381.81818181818
"Oakland",15,15,1420.97,"Horizon","Midwest",1200
"Ohio",14,15,1444.57,"MAC","Midwest",1186.20689655172
"Ohio State",25,7,1830.78,"Big Ten","Midwest",1425
"Oklahoma",25,9,1759.22,"Big 12","South",1388.23529411765
"Oklahoma State",9,20,1486.02,"Big 12","South",1048.27586206897
"Old Dominion",23,10,1563.81,"Sun Belt","South",1357.57575757576
"Ole Miss",23,9,1757.15,"SEC","South",1375
"Omaha",6,19,1178.39,"Summit League","Midwest",992
"Oral Roberts",14,15,1412.36,"Summit League","Midwest",1186.20689655172
"Oregon",19,12,1708.39,"Pac-12","West",1290.32258064516
"Oregon State",17,14,1673.25,"Pac-12","West",1238.70967741935
"Pacific",5,23,1233,"WCC","West",942.857142857143
"Penn",10,14,1423.45,"Ivy League","East",1133.33333333333
"Penn State",11,18,1426.84,"Big Ten","Midwest",1103.44827586207
"Pepperdine",8,17,1253.8,"WCC","West",1056
"Pittsburgh",11,19,1381.07,"ACC","East",1093.33333333333
"Portland",18,11,1524.11,"WCC","West",1296.55172413793
"Portland State",3,24,1064.36,"Big Sky","West",888.888888888889
"Prairie View A&M",10,17,1241.05,"SWAC","South",1096.2962962963
"Presbyterian College",11,18,1252.76,"Big South","South",1103.44827586207
"Princeton",25,5,1801.31,"Ivy League","East",1466.66666666667
"Providence",11,19,1327.83,"Big East","East",1093.33333333333
"Purdue",17,15,1502.72,"Big Ten","Midwest",1225
"Purdue Fort Wayne",5,21,1126.02,"Horizon","Midwest",953.846153846154
"Quinnipiac",21,12,1475.59,"MAAC","East",1309.09090909091
"Radford",5,23,1106.65,"Big South","South",942.857142857143
"Rhode Island",22,7,1603.85,"Atlantic 10","East",1406.89655172414
"Rice",13,13,1508.83,"AAC","East",1200
"Richmond",16,14,1438.96,"Atlantic 10","East",1226.66666666667
"Rider",9,21,1192.22,"MAAC","East",1040
"Robert Morris",13,15,1370.65,"Horizon","Midwest",1171.42857142857
"Rutgers",11,20,1470.2,"Big Ten","Midwest",1083.87096774194
"Sacramento State",13,16,1291.95,"Big Sky","West",1158.62068965517
"Sacred Heart",8,17,1174.19,"NEC","East",1056
"Saint Bonaventure",11,16,1265.78,"Atlantic 10","East",1125.92592592593
"Saint Francis (NY)",16,10,1373.26,NA,NA,1292.30769230769
"Saint Francis (PA)",8,22,1201.75,"NEC","East",1013.33333333333
"Saint John's",12,19,1436.93,"Big East","East",1109.67741935484
"Saint Joseph's",13,17,1465.21,"Atlantic 10","East",1146.66666666667
"Saint Louis",9,18,1357.7,"Atlantic 10","East",1066.66666666667
"Saint Mary's College",18,15,1519.55,"WCC","West",1236.36363636364
"Saint Peter's",13,18,1265.66,"MAAC","East",1135.48387096774
"Saint Thomas",6,21,1152.48,"Summit League","Midwest",977.777777777778
"Sam Houston State",12,16,1406.61,"Southland","South",1142.85714285714
"Samford",11,17,1309.52,"SoCon","South",1114.28571428571
"San Diego",17,15,1490.12,"WCC","West",1225
"San Diego State",14,16,1382.15,"Mountain West","West",1173.33333333333
"San Francisco",17,16,1520.24,"WCC","West",1212.12121212121
"San Jose State",4,25,1190.34,"Mountain West","West",910.344827586207
"Santa Clara",14,15,1450.25,"WCC","West",1186.20689655172
"Seattle University",9,19,1226.06,"WAC","West",1057.14285714286
"Seton Hall",24,13,1740.68,"Big East","East",1318.91891891892
"Siena",10,19,1250.85,"MAAC","East",1075.86206896552
"SIUE",13,18,1320.52,"OVC","Midwest",1135.48387096774
"SMU",14,15,1448.14,"AAC","East",1186.20689655172
"South Alabama",5,18,1184.1,"Sun Belt","South",973.913043478261
"South Carolina",35,2,2066.63,"SEC","South",1556.75675675676
"South Carolina State",4,25,1052.37,"MEAC","South",910.344827586207
"South Carolina Upstate",19,8,1421.4,"Big South","South",1362.96296296296
"South Dakota",28,6,1805.33,"Summit League","Midwest",1458.82352941176
"South Dakota State",28,9,1804.53,"Summit League","Midwest",1405.40540540541
"South Florida",24,9,1744.95,"AAC","East",1381.81818181818
"Southeast Missouri",4,23,1141.22,"OVC","Midwest",918.518518518518
"Southeastern Louisiana",14,11,1328.28,"Southland","South",1248
"Southern",12,17,1331.01,"SWAC","South",1131.03448275862
"Southern Illinois",20,10,1553.79,"MVC","Midwest",1333.33333333333
"Southern Miss",16,12,1419.34,"C-USA","South",1257.14285714286
"Southern Utah",16,12,1430.99,"WAC","West",1257.14285714286
"Stanford",32,4,2032.62,"Pac-12","West",1511.11111111111
"Stephen F. Austin",26,5,1705.26,"Southland","South",1470.96774193548
"Stetson",18,12,1511.36,"ASUN","South",1280
"Stony Brook",23,6,1550.69,"CAA","East",1434.48275862069
"Syracuse",11,18,1452.93,"ACC","East",1103.44827586207
"Tarleton State",12,13,1289.04,"WAC","West",1184
"TCU",6,22,1364.39,"Big 12","South",971.428571428571
"Temple",13,15,1470.76,"AAC","East",1171.42857142857
"Tennessee",25,9,1798.33,"SEC","South",1388.23529411765
"Tennessee-Martin",12,18,1372.32,"OVC","Midwest",1120
"Tennessee State",11,19,1216.69,"OVC","Midwest",1093.33333333333
"Tennessee Tech",19,11,1540.84,"OVC","Midwest",1306.66666666667
"Texas",29,7,1945.12,"Big 12","South",1444.44444444444
"Texas A&M",14,15,1563.5,"SEC","South",1186.20689655172
"Texas A&M-Corpus Christi",16,10,1353.67,"Southland","South",1292.30769230769
"Texas Southern",11,15,1296.85,"SWAC","South",1138.46153846154
"Texas State",12,14,1385.82,"Sun Belt","South",1169.23076923077
"Texas Tech",11,19,1447.48,"Big 12","South",1093.33333333333
"Toledo",29,6,1723.22,"MAC","Midwest",1462.85714285714
"Towson",22,8,1590.26,"CAA","East",1386.66666666667
"Troy",22,9,1619.22,"Sun Belt","South",1367.74193548387
"Tulane",20,10,1631.69,"AAC","East",1333.33333333333
"Tulsa",16,11,1467.84,"AAC","East",1274.07407407407
"UAB",14,15,1378.22,"AAC","East",1186.20689655172
"UC Davis",13,13,1427.51,"Big West","West",1200
"UC Irvine",20,12,1493.8,"Big West","West",1300
"UC Riverside",12,11,1411.9,"Big West","West",1217.39130434783
"UC San Diego",12,14,1338.2,"Big West","West",1169.23076923077
"UC Santa Barbara",14,12,1347.78,"Big West","West",1230.76923076923
"UCF",26,4,1864.23,"Big 12","South",1493.33333333333
"UCLA",18,13,1705.46,"Pac-12","West",1264.51612903226
"UIC",2,25,1013.74,"MVC","Midwest",859.259259259259
"ULM",1,25,994.54,"Sun Belt","South",830.769230769231
"UMass",26,7,1714.64,"Atlantic 10","East",1430.30303030303
"UMass-Lowell",11,16,1281.63,"America East","East",1125.92592592593
"UMBC",2,23,1049.64,"America East","East",864
"UMKC",21,9,1511.17,"WAC","West",1360
"UNC Asheville",8,22,1165.86,"Big South","South",1013.33333333333
"UNCG",8,19,1180.37,"SoCon","South",1037.03703703704
"UNCW",2,26,1063.8,"CAA","East",857.142857142857
"UNLV",26,7,1632.74,"Mountain West","West",1430.30303030303
"USC",12,16,1530.41,"Pac-12","West",1142.85714285714
"UTA",20,8,1614.95,"Sun Belt","South",1371.42857142857
"Utah",21,12,1721.83,"Pac-12","West",1309.09090909091
"Utah State",10,19,1311.23,"Mountain West","West",1075.86206896552
"Utah Valley",14,15,1409.16,"WAC","West",1186.20689655172
"UTEP",14,15,1308.71,"C-USA","South",1186.20689655172
"UTRGV",14,19,1315.4,"WAC","West",1139.39393939394
"UTSA",7,23,1220.6,"AAC","East",986.666666666667
"Valparaiso",11,19,1411.4,"MVC","Midwest",1093.33333333333
"Vanderbilt",16,19,1571.32,"SEC","South",1165.71428571429
"VCU",16,12,1565.8,"Atlantic 10","East",1257.14285714286
"Vermont",20,11,1450.72,"America East","East",1316.12903225806
"Villanova",24,9,1769.73,"Big East","East",1381.81818181818
"Virginia",5,22,1389.51,"ACC","East",948.148148148148
"Virginia Tech",23,10,1792.63,"ACC","East",1357.57575757576
"Wagner",17,12,1334.47,"NEC","East",1268.96551724138
"Wake Forest",16,17,1500.03,"ACC","East",1187.87878787879
"Washington",7,16,1450.08,"Pac-12","West",1043.47826086957
"Washington State",19,11,1701.68,"Pac-12","West",1306.66666666667
"Weber State",11,20,1232.52,"Big Sky","West",1083.87096774194
"West Virginia",15,15,1631.45,"Big 12","South",1200
"Western Carolina",3,23,988.95,"SoCon","South",892.307692307692
"Western Illinois",12,15,1292.71,"Summit League","Midwest",1155.55555555556
"Western Kentucky",17,12,1437.64,"C-USA","South",1268.96551724138
"Western Michigan",14,14,1426.31,"MAC","Midwest",1200
"Wichita State",14,16,1412.08,"AAC","East",1173.33333333333
"William & Mary",9,20,1298.1,"CAA","East",1048.27586206897
"Winthrop",5,22,1111.57,"Big South","South",948.148148148148
"Wisconsin",8,21,1365.45,"Big Ten","Midwest",1020.68965517241
"Wofford",14,14,1373.32,"SoCon","South",1200
"Wright State",3,19,1231.86,"Horizon","Midwest",909.090909090909
"Wyoming",15,13,1541.22,"Mountain West","West",1228.57142857143
"Xavier",9,21,1273.21,"Big East","East",1040
"Yale",16,11,1498.72,"Ivy League","East",1274.07407407407
"Youngstown State",21,7,1496.2,"Horizon","Midwest",1400
