"Team","Record","ELO","Rank","ELO Delta"
"San Diego State","16-12",1335.3,157,3
"Nevada","14-15",1332.28,158,9
"Butler","13-15",1331.24,159,-4
"William & Mary","15-12",1330.81,160,-4
"Howard","13-14",1328.64,161,21
"Central Arkansas","17-10",1321.45,162,11
"Bucknell","12-16",1320.9,163,7
"Mercer","14-16",1320.81,164,5
"Youngstown State","13-17",1317.66,165,29
"Arizona State","11-19",1317.17,166,-5
"UTA","15-14",1316.95,167,-5
"Campbell","13-12",1316.78,168,3
"Saint Louis","12-17",1316.47,169,-4
"Pacific","15-13",1316.3,170,4
"Le Moyne","16-13",1316.03,171,10
"Fordham","10-16",1315.83,172,-8
"Minnesota","15-14",1312.72,173,-21
"Loyola-Maryland","15-13",1311.72,174,9
"Clemson","12-18",1307.84,175,2
"Charlotte","16-14",1306.79,176,-27
"Drexel","12-14",1305.84,177,-5
"Southern","12-14",1305.12,178,15
"UNCG","15-10",1304.35,179,-1
"Southeastern Louisiana","14-11",1303.44,180,8
"Brown","14-11",1301.81,181,-1
"Texas Tech","16-15",1299.23,182,-16
"UC Davis","13-13",1297,183,1
"ULM","16-12",1295,184,1
"FAU","10-17",1293.62,185,15
"Louisiana Tech","10-17",1292.93,186,NA
"UCF","11-16",1292.12,187,-12
"Wright State","15-14",1290.09,188,2
"Northern Colorado","13-14",1289.42,189,-13
"Lipscomb","15-12",1287.65,190,2
"George Washington","12-17",1287.5,191,-2
"Montana State","16-15",1282.83,192,7
"UAB","17-12",1280.71,193,-30
"Air Force","13-16",1279.69,194,1
"Loyola-Chicago","14-15",1279.55,195,-4
"Milwaukee","14-15",1277.8,196,5
"Manhattan","17-10",1273.73,197,-1
"Oregon","11-20",1271.26,198,-11
"Eastern Kentucky","18-10",1270.49,199,-2
"UIC","16-13",1269.27,200,-2
"Missouri","11-18",1267.52,201,-22
"Wofford","12-12",1265.59,202,8
"Utah Tech","14-13",1265.53,203,4
"Arkansas-Pine Bluff","14-13",1259.29,204,8
"Canisius","15-12",1257.93,205,-1
"Yale","8-18",1257.4,206,9
"Alabama A&M","14-13",1257.22,207,4
"Ohio","10-17",1252.21,208,NA
"Northern Kentucky","9-19",1252.09,209,7
"Northwestern","9-20",1251.81,210,-5
"Lehigh","15-12",1251.78,211,-5
"Colgate","15-12",1251.46,212,-9
"Mount Saint Mary's","12-16",1248.48,213,NA
"Abilene Christian","10-14",1246.48,214,-5
"Jacksonville State","9-16",1245.12,215,2
"Navy","10-16",1244.72,216,6
"Idaho","13-15",1241.85,217,14
"Tennessee-Martin","13-15",1241.72,218,6
"DePaul","12-19",1241.02,219,-17
"Holy Cross","15-12",1238.38,220,-6
"Austin Peay","13-14",1237.4,221,-3
"Northern Illinois","12-15",1236.91,222,-3
"Tennessee Tech","13-14",1234.14,223,-2
"Coastal Carolina","11-20",1232.96,224,12
"Georgia State","13-14",1231.56,225,8
"Little Rock","12-17",1231.26,226,6
"Saint Mary's College","12-17",1231.04,227,-7
"Western Michigan","11-15",1227.9,228,NA
"Binghamton","11-16",1227.12,229,11
"Wake Forest","6-24",1225.47,230,-4
"Bryant","13-14",1225.26,231,-2
"Long Beach State","11-16",1222.19,232,-7
"Akron","10-17",1220.09,233,-10
"Army","10-15",1220.05,234,5
"East Tennessee State","16-11",1219.81,235,-8
"Oakland","10-16",1218.6,236,-1
"UTEP","9-17",1218.57,237,1
"Fresno State","12-16",1214.26,238,-4
"Providence","12-19",1212.8,239,-9
"Wichita State","9-21",1208.78,240,32
"Pittsburgh","8-23",1208.25,241,2
"North Carolina Central","11-14",1206.22,242,26
"North Alabama","10-17",1205.4,243,8
"UC Santa Barbara","14-12",1204.99,244,-3
"Fairleigh Dickinson","11-16",1204.23,245,-1
"Maryland Eastern Shore","11-14",1202.61,246,-9
"Samford","11-15",1198.5,247,3
"Detroit","17-15",1197.41,248,5
"Eastern Illinois","14-17",1196.79,249,5
"Western Kentucky","14-15",1191.2,250,-8
"Presbyterian College","14-14",1190.13,251,-5
"Iona","11-16",1188.09,252,-7
