"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Georgia State",10,21,1149.81,"Sun Belt","South",1058.06451612903
"Georgia Tech",13,17,1389.09,"ACC","East",1146.66666666667
"Gonzaga",28,5,1636.65,"WCC","West",1478.78787878788
"Grambling State",10,20,1138.31,"SWAC","South",1066.66666666667
"Grand Canyon",19,10,1373.01,"WAC","West",1324.13793103448
"Green Bay",28,6,1578.38,"Horizon","Midwest",1458.82352941176
"Hampton",11,18,1235.24,"CAA","East",1103.44827586207
"Hartford",0,26,783.41,NA,NA,800
"Harvard",20,12,1512.72,"Ivy League","East",1300
"Hawaii",18,15,1413.21,"Big West","West",1236.36363636364
"High Point",15,15,1279,"Big South","South",1200
"Hofstra",11,20,1157.05,"CAA","East",1083.87096774194
"Holy Cross",23,9,1437.91,"Patriot","East",1375
"Houston",15,16,1480.32,"Big 12","South",1187.09677419355
"Houston Christian",8,18,1049.76,"Southland","South",1046.15384615385
"Howard",16,14,1312.89,"MEAC","South",1226.66666666667
"Idaho",13,17,1239.51,"Big Sky","West",1146.66666666667
"Idaho State",9,19,1134.97,"Big Sky","West",1057.14285714286
"Illinois",22,10,1502.92,"Big Ten","Midwest",1350
"Illinois State",23,9,1481.86,"MVC","Midwest",1375
"Incarnate Word",11,14,1187.42,"Southland","South",1152
"Indiana",28,4,1765.57,"Big Ten","Midwest",1500
"Indiana State",11,19,1131.54,"MVC","Midwest",1093.33333333333
"Iona",26,7,1475.21,"MAAC","East",1430.30303030303
"Iowa",31,7,1881.28,"Big Ten","Midwest",1452.63157894737
"Iowa State",22,10,1680.17,"Big 12","South",1350
"IUPUI",17,13,1365.42,"Horizon","Midwest",1253.33333333333
"Jackson State",21,10,1427.7,"SWAC","South",1341.93548387097
"Jacksonville",9,17,1122.57,"ASUN","South",1076.92307692308
"Jacksonville State",14,14,1247.34,"OVC","Midwest",1200
"James Madison",25,8,1509.67,"Sun Belt","South",1406.06060606061
"Kansas",25,11,1663.32,"Big 12","South",1355.55555555556
"Kansas State",19,17,1471.6,"Big 12","South",1222.22222222222
"Kennesaw State",13,16,1237.46,"ASUN","South",1158.62068965517
"Kent State",19,11,1475.76,"MAC","Midwest",1306.66666666667
"Kentucky",12,19,1385.96,"SEC","South",1109.67741935484
"La Salle",17,13,1337.77,"Atlantic 10","East",1253.33333333333
"Lafayette",10,19,1120.64,"Patriot","East",1075.86206896552
"Lamar",17,12,1306.69,"Southland","South",1268.96551724138
"Lehigh",16,14,1335.4,"Patriot","East",1226.66666666667
"Liberty",22,9,1505.22,"C-USA","South",1367.74193548387
"Lindenwood",1,24,895.52,"OVC","Midwest",832
"Lipscomb",17,12,1345.86,"ASUN","South",1268.96551724138
"Little Rock",21,11,1414.36,"OVC","Midwest",1325
"Long Beach State",22,10,1405.47,"Big West","West",1350
"Long Island",7,22,1043.46,"NEC","East",993.103448275862
"Longwood",9,21,1150.31,"Big South","South",1040
"Louisiana",13,15,1259.75,"Sun Belt","South",1171.42857142857
"Louisiana Tech",18,13,1385.04,"C-USA","South",1264.51612903226
"Louisville",26,12,1734.24,"ACC","East",1347.36842105263
"Loyola-Chicago",6,24,1081.33,"MVC","Midwest",960
"Loyola-Maryland",10,21,1072.31,"Patriot","East",1058.06451612903
"Loyola-Marymount",6,23,1118.37,"WCC","West",965.51724137931
"LSU",34,2,1899.64,"SEC","South",1555.55555555556
"Maine",16,14,1295.88,"America East","East",1226.66666666667
"Manhattan",16,17,1305.41,"MAAC","East",1187.87878787879
"Marist",12,18,1121.06,"MAAC","East",1120
"Marquette",21,11,1577.05,"Big East","East",1325
"Marshall",15,14,1315.54,"Sun Belt","South",1213.79310344828
"Maryland",28,7,1802.92,"Big Ten","Midwest",1440
