"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Abilene Christian",11,16,1196.69,"WAC","West",1125.92592592593
"Air Force",13,17,1253.77,"Mountain West","West",1146.66666666667
"Akron",11,18,1229.54,"MAC","Midwest",1103.44827586207
"Alabama",24,10,1640.62,"SEC","South",1364.70588235294
"Alabama A&M",14,16,1186.44,"SWAC","South",1173.33333333333
"Alabama State",3,26,969.12,"SWAC","South",882.758620689655
"Albany",24,7,1393.22,"MAAC","East",1419.35483870968
"Alcorn State",11,20,1202.81,"SWAC","South",1083.87096774194
"American",10,20,1145.44,"Patriot","East",1066.66666666667
"Appalachian State",17,15,1375.65,"Sun Belt","South",1225
"Arizona",18,16,1543.47,"Pac-12","West",1223.52941176471
"Arizona State",11,20,1328.89,"Pac-12","West",1083.87096774194
"Arkansas",18,15,1419.31,"SEC","South",1236.36363636364
"Arkansas-Pine Bluff",15,16,1222.28,"SWAC","South",1187.09677419355
"Arkansas State",12,17,1180.3,"Sun Belt","South",1131.03448275862
"Army",10,17,1172.88,"Patriot","East",1096.2962962963
"Auburn",20,12,1537.44,"SEC","South",1300
"Austin Peay",15,15,1278.82,"ASUN","South",1200
"Ball State",27,6,1561.89,"MAC","Midwest",1454.54545454545
"Baylor",26,8,1698.09,"Big 12","South",1411.76470588235
"Bellarmine",8,19,1111.95,"ASUN","South",1037.03703703704
"Belmont",26,9,1568.47,"MVC","Midwest",1394.28571428571
"Bethune-Cookman",12,16,1077.73,"SWAC","South",1142.85714285714
"Binghamton",12,17,1215.41,"America East","East",1131.03448275862
"Boise State",19,14,1304.28,"Mountain West","West",1260.60606060606
"Boston College",14,19,1383.02,"ACC","East",1139.39393939394
"Boston University",19,12,1323.41,"Patriot","East",1290.32258064516
"Bowling Green",16,15,1292.23,"MAC","Midwest",1212.90322580645
"Bradley",5,26,1003.34,"MVC","Midwest",929.032258064516
"Brown",15,11,1319.79,"Ivy League","East",1261.53846153846
"Bryant",13,15,1187.06,"America East","East",1171.42857142857
"Bucknell",13,18,1269.41,"Patriot","East",1135.48387096774
"Buffalo",18,14,1388.63,"MAC","Midwest",1250
"Butler",14,17,1291.02,"Big East","East",1161.29032258065
"BYU",16,17,1411.78,"Big 12","South",1187.87878787879
"Cal Poly",17,14,1267.88,"Big West","West",1238.70967741935
"Cal State Bakersfield",7,21,1043.84,"Big West","West",1000
"Cal State Fullerton",10,21,1106.83,"Big West","West",1058.06451612903
"Cal State Northridge",3,26,948.54,"Big West","West",882.758620689655
"California",19,15,1472.82,"Pac-12","West",1247.05882352941
"California Baptist",28,4,1575.38,"WAC","West",1500
"Campbell",15,14,1314.86,"CAA","East",1213.79310344828
"Canisius",16,14,1258.29,"MAAC","East",1226.66666666667
"Central Arkansas",19,12,1312.36,"ASUN","South",1290.32258064516
"Central Connecticut",9,21,1033.84,"NEC","East",1040
"Central Michigan",5,22,1069.54,"MAC","Midwest",948.148148148148
"Charleston",20,10,1388.47,"CAA","East",1333.33333333333
"Charleston Southern",10,19,1119.54,"Big South","South",1075.86206896552
"Charlotte",16,15,1301.21,"AAC","East",1212.90322580645
"Chattanooga",26,5,1487.57,"SoCon","South",1470.96774193548
"Chicago State",0,26,869.68,"NEC","East",800
"Cincinnati",14,18,1354.06,"Big 12","South",1150
"Clemson",12,19,1298.2,"ACC","East",1109.67741935484
"Cleveland State",29,6,1557.57,"Horizon","Midwest",1462.85714285714
"Coastal Carolina",11,21,1206.99,"Sun Belt","South",1075
"Colgate",19,14,1317.26,"Patriot","East",1260.60606060606
"Colorado",24,10,1622.31,"Pac-12","West",1364.70588235294
"Colorado State",19,11,1396.72,"Mountain West","West",1306.66666666667
"Columbia",23,7,1589.87,"Ivy League","East",1413.33333333333
"Connecticut",32,5,1871.4,"Big East","East",1491.89189189189
"Coppin State",12,18,1174.32,"MEAC","South",1120
"Cornell",7,19,1096.93,"Ivy League","East",1015.38461538462
"Creighton",26,6,1685.85,"Big East","East",1450
"Dartmouth",5,19,1054.81,"Ivy League","East",966.666666666667
"Davidson",18,8,1422.49,"Atlantic 10","East",1353.84615384615
"Dayton",10,19,1222.67,"Atlantic 10","East",1075.86206896552
"Delaware",11,20,1190.29,"CAA","East",1083.87096774194
"Delaware State",5,20,997.02,"MEAC","South",960
"Denver",7,22,1110.03,"Summit League","Midwest",993.103448275862
"DePaul",12,20,1277.46,"Big East","East",1100
"Detroit",17,16,1195.98,"Horizon","Midwest",1212.12121212121
