"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Drake",29,6,1645.32,"MVC","Midwest",1462.85714285714
"Drexel",18,15,1469.61,"CAA","East",1236.36363636364
"Duke",22,12,1665.71,"ACC","East",1317.64705882353
"Duquesne",21,13,1458.63,"Atlantic 10","East",1294.11764705882
"East Carolina",19,14,1412.5,"AAC","East",1260.60606060606
"East Tennessee State",16,12,1219.72,"SoCon","South",1257.14285714286
"Eastern Illinois",15,18,1202.58,"OVC","Midwest",1163.63636363636
"Eastern Kentucky",19,12,1257.92,"ASUN","South",1290.32258064516
"Eastern Michigan",6,22,1083.44,"MAC","Midwest",971.428571428571
"Eastern Washington",27,6,1534.44,"Big Sky","West",1454.54545454545
"Elon",10,20,1186.85,"CAA","East",1066.66666666667
"Evansville",4,28,989.26,"MVC","Midwest",900
"Fairfield",30,2,1626.28,"MAAC","East",1550
"Fairleigh Dickinson",13,17,1198.21,"NEC","East",1146.66666666667
"FAU",10,19,1214.52,"AAC","East",1075.86206896552
"FGCU",27,5,1615.66,"ASUN","South",1475
"FIU",20,12,1324.16,"C-USA","South",1300
"Florida",16,16,1443.85,"SEC","South",1200
"Florida A&M",9,21,1107.01,"SWAC","South",1040
"Florida State",23,11,1590.19,"ACC","East",1341.17647058824
"Fordham",10,17,1284.72,"Atlantic 10","East",1096.2962962963
"Fresno State",13,18,1235.21,"Mountain West","West",1135.48387096774
"Furman",12,16,1184.57,"SoCon","South",1142.85714285714
"Gardner-Webb",6,24,1034.09,"Big South","South",960
"George Mason",22,8,1459.47,"Atlantic 10","East",1386.66666666667
"George Washington",12,18,1261.69,"Atlantic 10","East",1120
"Georgetown",23,12,1496.03,"Big East","East",1325.71428571429
"Georgia",12,18,1363.92,"SEC","South",1120
"Georgia Southern",13,18,1157.52,"Sun Belt","South",1135.48387096774
"Georgia State",13,15,1221.21,"Sun Belt","South",1171.42857142857
"Georgia Tech",17,16,1412.5,"ACC","East",1212.12121212121
"Gonzaga",32,4,1718.64,"WCC","West",1511.11111111111
"Grambling State",20,10,1354.29,"SWAC","South",1333.33333333333
"Grand Canyon",23,8,1429.6,"WAC","West",1393.54838709677
"Green Bay",26,7,1557.61,"Horizon","Midwest",1430.30303030303
"Hampton",3,26,988.54,"CAA","East",882.758620689655
"Harvard",16,12,1388.66,"Ivy League","East",1257.14285714286
"Hawaii",20,11,1427.84,"Big West","West",1316.12903225806
"High Point",18,12,1346.39,"Big South","South",1280
"Hofstra",10,21,1117.83,"CAA","East",1058.06451612903
"Holy Cross",20,13,1368.59,"Patriot","East",1284.84848484848
"Houston",14,16,1357.54,"Big 12","South",1173.33333333333
"Houston Christian",2,23,934.68,"Southland","South",864
"Howard",15,16,1300.41,"MEAC","South",1187.09677419355
"Idaho",13,16,1238.25,"Big Sky","West",1158.62068965517
"Idaho State",10,19,1143.56,"Big Sky","West",1075.86206896552
"Illinois",18,15,1547.57,"Big Ten","Midwest",1236.36363636364
"Illinois State",21,12,1424.49,"MVC","Midwest",1309.09090909091
"Incarnate Word",15,11,1261.71,"Southland","South",1261.53846153846
"Indiana",26,6,1738.19,"Big Ten","Midwest",1450
"Indiana State",11,20,1185.95,"MVC","Midwest",1083.87096774194
"Iona",11,19,1119.54,"MAAC","East",1093.33333333333
"Iowa",33,4,1861.36,"Big Ten","Midwest",1513.51351351351
"Iowa State",21,12,1668.82,"Big 12","South",1309.09090909091
"IUPUI",7,23,1146.96,"Horizon","Midwest",986.666666666667
"Jackson State",23,7,1525.49,"SWAC","South",1413.33333333333
"Jacksonville",9,20,1168.76,"ASUN","South",1048.27586206897
"Jacksonville State",10,17,1240.71,"OVC","Midwest",1096.2962962963
"James Madison",22,12,1455.48,"Sun Belt","South",1317.64705882353
"Kansas",20,13,1643.96,"Big 12","South",1284.84848484848
"Kansas State",26,8,1638.47,"Big 12","South",1411.76470588235
"Kennesaw State",9,19,1105.94,"ASUN","South",1057.14285714286
"Kent State",19,11,1483.82,"MAC","Midwest",1306.66666666667
"Kentucky",12,20,1419.11,"SEC","South",1100
"La Salle",8,22,1167.77,"Atlantic 10","East",1013.33333333333
"Lafayette",10,20,1111.3,"Patriot","East",1066.66666666667
"Lamar",22,7,1424.09,"Southland","South",1406.89655172414
"Le Moyne",18,15,1256.48,"NEC","East",1236.36363636364
"Lehigh",16,13,1262.39,"Patriot","East",1241.37931034483
"Liberty",16,16,1439.16,"C-USA","South",1200
"Lindenwood",6,21,1009.71,"OVC","Midwest",977.777777777778
"Lipscomb",15,13,1246.82,"ASUN","South",1228.57142857143
"Little Rock",12,18,1208.88,"OVC","Midwest",1120
"Long Beach State",14,18,1267.61,"Big West","West",1150
"Long Island",8,22,981.98,"NEC","East",1013.33333333333
"Longwood",7,21,1115.84,"Big South","South",1000
"Louisiana",15,14,1383.35,"Sun Belt","South",1213.79310344828
"Louisiana Tech",12,19,1311.61,"C-USA","South",1109.67741935484
"Louisville",24,10,1618.03,"ACC","East",1364.70588235294
"Loyola-Chicago",15,16,1319.08,"MVC","Midwest",1187.09677419355
"Loyola-Maryland",16,15,1247.22,"Patriot","East",1212.90322580645
"Loyola-Marymount",9,19,1199.64,"WCC","West",1057.14285714286
"LSU",31,6,1791.64,"SEC","South",1470.27027027027
"Maine",24,10,1495.56,"America East","East",1364.70588235294
"Manhattan",18,12,1245.84,"MAAC","East",1280
"Marist",6,25,1011.67,"MAAC","East",954.838709677419
"Marquette",23,9,1549.21,"Big East","East",1375
"Marshall",24,7,1583.71,"Sun Belt","South",1419.35483870968
"Maryland",19,14,1557.13,"Big Ten","Midwest",1260.60606060606
"Maryland Eastern Shore",12,15,1183.72,"MEAC","South",1155.55555555556
"McNeese",2,25,943.37,"Southland","South",859.259259259259
"Memphis",13,17,1366.16,"AAC","East",1146.66666666667
"Mercer",15,17,1320.37,"SoCon","South",1175
"Merrimack",12,19,1086.82,"NEC","East",1109.67741935484
"Miami (FL)",19,12,1509.11,"ACC","East",1290.32258064516
"Miami (OH)",9,20,1179.91,"MAC","Midwest",1048.27586206897
"Michigan",20,14,1516.99,"Big Ten","Midwest",1270.58823529412
"Michigan State",22,9,1562.26,"Big Ten","Midwest",1367.74193548387
"Middle Tennessee",30,5,1674.86,"C-USA","South",1485.71428571429
"Milwaukee",14,16,1247.14,"Horizon","Midwest",1173.33333333333
"Minnesota",19,15,1435.17,"Big Ten","Midwest",1247.05882352941
"Mississippi State",23,12,1503.06,"SEC","South",1325.71428571429
"Mississippi Valley State",4,27,954.54,"SWAC","South",903.225806451613
"Missouri",11,19,1300.9,"SEC","South",1093.33333333333
"Missouri State",23,10,1490.46,"MVC","Midwest",1357.57575757576
"Monmouth",21,10,1435,"CAA","East",1341.93548387097
"Montana",22,10,1415.6,"Big Sky","West",1350
"Montana State",17,16,1311.56,"Big Sky","West",1212.12121212121
"Morehead State",12,15,1127.06,"OVC","Midwest",1155.55555555556
"Morgan State",6,20,1062.26,"MEAC","South",984.615384615385
"Mount Saint Mary's",14,17,1247.89,"NEC","East",1161.29032258065
"Murray State",19,12,1354.68,"OVC","Midwest",1290.32258064516
"Navy",12,17,1244.45,"Patriot","East",1131.03448275862
"Nebraska",23,12,1597.87,"Big Ten","Midwest",1325.71428571429
"Nevada",15,16,1308.6,"Mountain West","West",1187.09677419355
"New Hampshire",8,20,1028.56,"America East","East",1028.57142857143
"New Mexico",20,11,1392.56,"Mountain West","West",1316.12903225806
"New Mexico State",12,18,1213.96,"WAC","West",1120
"New Orleans",11,19,1099.69,"Southland","South",1093.33333333333
"Niagara",21,14,1422.54,"MAAC","East",1280
"Nicholls",11,18,1094.57,"Southland","South",1103.44827586207
"NJIT",12,18,1147.37,"America East","East",1120
"Norfolk State",26,6,1469.12,"MEAC","South",1450
"North Alabama",10,18,1174.34,"ASUN","South",1085.71428571429
"North Carolina",20,13,1586.4,"ACC","East",1284.84848484848
"North Carolina A&T",20,12,1400.71,"MEAC","South",1300
"North Carolina Central",13,15,1187.84,"MEAC","South",1171.42857142857
"North Carolina State",31,6,1825.69,"ACC","East",1470.27027027027
"North Dakota",7,20,1130.12,"Summit League","Midwest",1007.40740740741
"North Dakota State",20,12,1442.51,"Summit League","Midwest",1300
"North Florida",6,21,1048.16,"ASUN","South",977.777777777778
"North Texas",22,9,1441.38,"AAC","East",1367.74193548387
"Northeastern",10,17,1158.61,"CAA","East",1096.2962962963
"Northern Arizona",24,10,1447.19,"Big Sky","West",1364.70588235294
"Northern Colorado",13,16,1248.7,"Big Sky","West",1158.62068965517
"Northern Illinois",14,16,1274.36,"MAC","Midwest",1173.33333333333
"Northern Iowa",16,16,1429.31,"MVC","Midwest",1200
"Northern Kentucky",10,20,1262.94,"Horizon","Midwest",1066.66666666667
"Northwestern",9,21,1254.51,"Big Ten","Midwest",1040
"Northwestern State",9,19,1074.72,"Southland","South",1057.14285714286
"Notre Dame",28,7,1800.52,"ACC","East",1440
"Oakland",10,17,1202.82,"Horizon","Midwest",1096.2962962963
"Ohio",11,19,1238.16,"MAC","Midwest",1093.33333333333
"Ohio State",25,6,1711.27,"Big Ten","Midwest",1445.16129032258
"Oklahoma",23,10,1681.98,"Big 12","South",1357.57575757576
"Oklahoma State",14,16,1424.49,"Big 12","South",1173.33333333333
"Old Dominion",21,10,1442.45,"Sun Belt","South",1341.93548387097
"Ole Miss",24,9,1670.04,"SEC","South",1381.81818181818
"Omaha",6,23,1105.03,"Summit League","Midwest",965.51724137931
"Oral Roberts",17,11,1362.96,"Summit League","Midwest",1285.71428571429
"Oregon",11,21,1312.09,"Pac-12","West",1075
"Oregon State",27,8,1725.53,"Pac-12","West",1417.14285714286
"Pacific",18,15,1343.97,"WCC","West",1236.36363636364
"Penn",13,13,1339.73,"Ivy League","East",1200
"Penn State",22,13,1532.15,"Big Ten","Midwest",1302.85714285714
"Pepperdine",3,25,994.88,"WCC","West",885.714285714286
"Pittsburgh",8,24,1203.66,"ACC","East",1000
"Portland",19,13,1464.88,"WCC","West",1275
"Portland State",6,23,1030.26,"Big Sky","West",965.51724137931
"Prairie View A&M",8,18,1085.19,"SWAC","South",1046.15384615385
"Presbyterian College",18,15,1299.36,"Big South","South",1236.36363636364
"Princeton",25,5,1651.57,"Ivy League","East",1466.66666666667
"Providence",13,21,1244.03,"Big East","East",1105.88235294118
"Purdue",15,19,1393.24,"Big Ten","Midwest",1152.94117647059
"Purdue Fort Wayne",21,13,1383.98,"Horizon","Midwest",1294.11764705882
"Queens",4,22,937.74,NA,"South",923.076923076923
"Quinnipiac",13,18,1213.03,"MAAC","East",1135.48387096774
"Radford",14,18,1169.87,"Big South","South",1150
"Rhode Island",21,14,1454.12,"Atlantic 10","East",1280
"Rice",19,15,1442.79,"AAC","East",1247.05882352941
"Richmond",29,6,1618.5,"Atlantic 10","East",1462.85714285714
"Rider",10,21,1140.23,"MAAC","East",1058.06451612903
"Robert Morris",4,24,992.15,"Horizon","Midwest",914.285714285714
"Rutgers",8,24,1192.37,"Big Ten","Midwest",1000
"Sacramento State",6,25,1090.93,"Big Sky","West",954.838709677419
"Sacred Heart",22,10,1338.93,"NEC","East",1350
"Saint Bonaventure",4,26,993.29,"Atlantic 10","East",906.666666666667
"Saint Francis (PA)",5,25,933.36,"NEC","East",933.333333333333
"Saint John's",18,15,1445.38,"Big East","East",1236.36363636364
"Saint Joseph's",28,6,1556.12,"Atlantic 10","East",1458.82352941176
"Saint Louis",18,18,1460.78,"Atlantic 10","East",1200
"Saint Mary's College",12,18,1223.11,"WCC","West",1120
"Saint Peter's",7,23,1034.38,"MAAC","East",986.666666666667
"Saint Thomas",13,16,1190.12,"Summit League","Midwest",1158.62068965517
"Sam Houston State",5,22,1059.65,"Southland","South",948.148148148148
"Samford",11,16,1188.9,"SoCon","South",1125.92592592593
"San Diego",8,22,1180.95,"WCC","West",1013.33333333333
"San Diego State",20,13,1405.91,"Mountain West","West",1284.84848484848
"San Francisco",13,16,1352.58,"WCC","West",1158.62068965517
"San Jose State",6,24,1022.75,"Mountain West","West",960
"Santa Clara",23,9,1481.56,"WCC","West",1375
"Seattle University",6,23,1118.19,"WAC","West",965.51724137931
"Seton Hall",17,15,1423.29,"Big East","East",1225
"Siena",18,12,1348.61,"MAAC","East",1280
"SIUE",4,26,946.54,"OVC","Midwest",906.666666666667
"SMU",14,16,1295.14,"AAC","East",1173.33333333333
"South Alabama",7,23,1043.16,"Sun Belt","South",986.666666666667
"South Carolina",36,0,1978.84,"SEC","South",1600
"South Carolina State",2,28,887.48,"MEAC","South",853.333333333333
"South Carolina Upstate",15,16,1174.8,"Big South","South",1187.09677419355
"South Dakota",20,13,1404.44,"Summit League","Midwest",1284.84848484848
"South Dakota State",25,6,1631.44,"Summit League","Midwest",1445.16129032258
"South Florida",19,14,1406.61,"AAC","East",1260.60606060606
"Southeast Missouri",7,20,1055.63,"OVC","Midwest",1007.40740740741
"Southeastern Louisiana",16,12,1291.03,"Southland","South",1257.14285714286
"Southern",14,15,1272,"SWAC","South",1186.20689655172
"Southern Illinois",11,20,1199.27,"MVC","Midwest",1083.87096774194
"Southern Indiana",23,7,1401.01,NA,"South",1413.33333333333
"Southern Miss",19,14,1363.05,"C-USA","South",1260.60606060606
"Southern Utah",7,22,1102.7,"WAC","West",993.103448275862
"Stanford",30,6,1762.35,"Pac-12","West",1466.66666666667
"Stephen F. Austin",20,12,1419.85,"Southland","South",1300
"Stetson",15,15,1305.7,"ASUN","South",1200
"Stonehill",4,26,913.12,"NEC","East",906.666666666667
"Stony Brook",28,5,1547.76,"CAA","East",1478.78787878788
"Syracuse",24,8,1611.07,"ACC","East",1400
"Tarleton State",10,20,1176.22,"WAC","West",1066.66666666667
"TCU",20,12,1477.86,"Big 12","South",1300
"Temple",20,12,1461.54,"AAC","East",1300
"Tennessee",20,13,1657.04,"SEC","South",1284.84848484848
"Tennessee-Martin",15,17,1247.54,"OVC","Midwest",1175
"Tennessee State",9,19,1111.41,"OVC","Midwest",1057.14285714286
"Tennessee Tech",14,15,1232.88,"OVC","Midwest",1186.20689655172
"Texas",33,5,1831.68,"Big 12","South",1494.73684210526
"Texas A&M",19,13,1482.17,"SEC","South",1275
"Texas A&M-Commerce",13,16,1192.27,"Southland","South",1158.62068965517
"Texas A&M-Corpus Christi",19,9,1409.9,"Southland","South",1342.85714285714
"Texas Southern",6,22,1072.73,"SWAC","South",971.428571428571
"Texas State",12,18,1168.5,"Sun Belt","South",1120
"Texas Tech",17,16,1356.37,"Big 12","South",1212.12121212121
"Toledo",27,6,1608.9,"MAC","Midwest",1454.54545454545
"Towson",20,11,1419.71,"CAA","East",1316.12903225806
"Troy",22,11,1528.03,"Sun Belt","South",1333.33333333333
"Tulane",12,20,1258.39,"AAC","East",1100
"Tulsa",25,10,1509.44,"AAC","East",1371.42857142857
"UAB",17,14,1255.3,"AAC","East",1238.70967741935
"UC Davis",18,14,1373.48,"Big West","West",1250
"UC Irvine",23,9,1459.44,"Big West","West",1375
"UC Riverside",16,14,1294.79,"Big West","West",1226.66666666667
"UC San Diego",10,19,1141.35,"Big West","West",1075.86206896552
"UC Santa Barbara",14,15,1161.79,"Big West","West",1186.20689655172
"UCF",11,17,1317.41,"Big 12","South",1114.28571428571
"UCLA",27,7,1730.11,"Pac-12","West",1435.29411764706
"UIC",18,16,1263.79,"MVC","Midwest",1223.52941176471
"ULM",19,14,1338.1,"Sun Belt","South",1260.60606060606
"UMass",5,27,1126.04,"Atlantic 10","East",925
"UMass-Lowell",4,25,998.54,"America East","East",910.344827586207
"UMBC",8,19,1092.53,"America East","East",1037.03703703704
"UMKC",10,20,1118.26,"WAC","West",1066.66666666667
"UNC Asheville",9,20,1033.99,"Big South","South",1048.27586206897
"UNCG",17,12,1299.89,"SoCon","South",1268.96551724138
"UNCW",4,25,992.94,"CAA","East",910.344827586207
"UNLV",30,3,1657.61,"Mountain West","West",1527.27272727273
"USC",29,6,1786.96,"Pac-12","West",1462.85714285714
"UTA",17,16,1339.48,"Sun Belt","South",1212.12121212121
"Utah",21,11,1626.84,"Pac-12","West",1325
"Utah State",4,24,1028.92,"Mountain West","West",914.285714285714
"Utah Tech",16,14,1283.86,"WAC","West",1226.66666666667
"Utah Valley",9,19,1125,"WAC","West",1057.14285714286
"UTEP",10,19,1205.95,"C-USA","South",1075.86206896552
"UTRGV",6,23,1063.07,"WAC","West",965.51724137931
"UTSA",18,15,1367.21,"AAC","East",1236.36363636364
"Valparaiso",5,25,1052.97,"MVC","Midwest",933.333333333333
"Vanderbilt",23,10,1560.45,"SEC","South",1357.57575757576
"VCU",25,6,1550.7,"Atlantic 10","East",1445.16129032258
"Vermont",24,11,1473.97,"America East","East",1348.57142857143
"Villanova",22,12,1602.35,"Big East","East",1317.64705882353
"Virginia",16,16,1449.03,"ACC","East",1200
"Virginia Tech",25,8,1692.14,"ACC","East",1406.06060606061
"Wagner",6,21,977.53,"NEC","East",977.777777777778
"Wake Forest",7,25,1268.61,"ACC","East",975
"Washington",16,15,1420.13,"Pac-12","West",1212.90322580645
"Washington State",21,15,1532.09,"Pac-12","West",1266.66666666667
"Weber State",7,25,1062.31,"Big Sky","West",975
"West Virginia",25,8,1614.02,"Big 12","South",1406.06060606061
"Western Carolina",3,24,953.03,"SoCon","South",888.888888888889
"Western Illinois",14,12,1165.29,"Summit League","Midwest",1230.76923076923
"Western Kentucky",14,17,1204.85,"C-USA","South",1161.29032258065
"Western Michigan",11,18,1196.67,"MAC","Midwest",1103.44827586207
"Wichita State",10,22,1219.37,"AAC","East",1050
"William & Mary",15,14,1273.28,"CAA","East",1213.79310344828
"Winthrop",11,16,1137.56,"Big South","South",1125.92592592593
"Wisconsin",15,17,1381.9,"Big Ten","Midwest",1175
"Wofford",13,13,1263.75,"SoCon","South",1200
"Wright State",16,15,1300.88,"Horizon","Midwest",1212.90322580645
"Wyoming",17,15,1355.79,"Mountain West","West",1225
"Xavier",1,27,1017.44,"Big East","East",828.571428571429
"Yale",8,19,1230.43,"Ivy League","East",1037.03703703704
"Youngstown State",13,18,1292.31,"Horizon","Midwest",1135.48387096774
