Team,Wins,Losses,ELO,Conference,Region,Ranking.Estimate.1
Alabama A&M,10,7,1257.36,SWAC,South,1270.588235
Chattanooga,14,10,1280.84,SoCon,South,1266.666667
DePaul,14,10,1477.82,Big East,East,1266.666667
James Madison,14,10,1433.58,Sun Belt,South,1266.666667
Louisiana Tech,14,10,1345.84,C-USA,South,1266.666667
Wyoming,14,10,1418.68,Mountain West,West,1266.666667
Oregon State,11,8,1638.86,Pac-12,West,1263.157895
Rhode Island,11,8,1361.96,Atlantic 10,East,1263.157895
Southeastern Louisiana,11,8,1279.15,Southland,South,1263.157895
Little Rock,15,11,1318.48,OVC,Midwest,1261.538462
San Francisco,15,11,1455.85,WCC,West,1261.538462
Bradley,16,12,1460.47,MVC,Midwest,1257.142857
Towson,12,9,1316.44,CAA,East,1257.142857
UMass-Lowell,12,9,1298.31,America East,East,1257.142857
Northern Iowa,17,13,1465.71,MVC,Midwest,1253.333333
Ball State,14,11,1416.48,MAC,Midwest,1248
Longwood,14,11,1275.61,Big South,South,1248
Santa Clara,14,11,1351.84,WCC,West,1248
Southeast Missouri,14,11,1337.94,OVC,Midwest,1248
Appalachian State,15,12,1359.53,Sun Belt,South,1244.444444
Ole Miss,15,12,1494.85,SEC,South,1244.444444
Youngstown State,10,8,1246.94,Horizon,Midwest,1244.444444
Kent State,11,9,1403.63,MAC,Midwest,1240
Long Beach State,11,9,1211.55,Big West,West,1240
Manhattan,11,9,1291.96,MAAC,East,1240
Nevada,11,9,1330.25,Mountain West,West,1240
Cal Poly,13,11,1258.03,Big West,West,1233.333333
North Carolina,13,11,1521.56,ACC,East,1233.333333
North Florida,13,11,1354.23,ASUN,South,1233.333333
Old Dominion,13,11,1431.33,Sun Belt,South,1233.333333
Northern Colorado,14,12,1345.6,Big Sky,West,1230.769231
Hawaii,8,7,1321.76,Big West,West,1226.666667
Florida State,10,9,1527.58,ACC,East,1221.052632
Mississippi State,10,9,1507.15,SEC,South,1221.052632
Southern Utah,10,9,1263.95,WAC,West,1221.052632
Presbyterian College,11,10,1224.34,Big South,South,1219.047619
Georgia State,12,11,1295.07,Sun Belt,South,1217.391304
Samford,12,11,1317.03,SoCon,South,1217.391304
Southern,12,11,1317.02,SWAC,South,1217.391304
Wofford,12,11,1229.25,SoCon,South,1217.391304
Northern Arizona,15,14,1284.5,Big Sky,West,1213.793103
Arizona State,12,12,1453.58,Pac-12,West,1200
Austin Peay,11,11,1252.97,ASUN,South,1200
Cal State Bakersfield,9,9,1220.63,Big West,West,1200
Colorado,11,11,1476.16,Pac-12,West,1200
Eastern Michigan,10,10,1327.21,MAC,Midwest,1200
Grambling State,10,10,1225.75,SWAC,South,1200
Lipscomb,10,10,1262.73,ASUN,South,1200
Miami (FL),11,11,1475.27,ACC,East,1200
Montana,11,11,1230.63,Big Sky,West,1200
Nebraska,13,13,1452.55,Big Ten,Midwest,1200
Northern Illinois,12,12,1349.58,MAC,Midwest,1200
Notre Dame,10,10,1513.61,ACC,East,1200
Oakland,12,12,1260.26,Horizon,Midwest,1200
Oklahoma,12,12,1492.24,Big 12,South,1200
Pacific,11,11,1356.73,WCC,West,1200
Portland,13,13,1341,WCC,West,1200
San Jose State,2,2,1360.26,Mountain West,West,1200
Temple,11,11,1378.76,AAC,East,1200
Texas State,11,11,1256.5,Sun Belt,South,1200
Toledo,12,12,1353.14,MAC,Midwest,1200
Vanderbilt,4,4,1369.52,SEC,South,1200
Washington State,12,12,1467.15,Pac-12,West,1200
Central Arkansas,13,14,1307.5,ASUN,South,1185.185185
FIU,12,13,1280.74,C-USA,South,1184
Valparaiso,12,13,1344.6,MVC,Midwest,1184
Wake Forest,12,13,1473.2,ACC,East,1184
USC,11,12,1495.42,Pac-12,West,1182.608696
FAU,10,11,1317.46,AAC,East,1180.952381
Elon,7,8,1312.97,CAA,East,1173.333333
Holy Cross,7,8,1337.59,Patriot,East,1173.333333
Saint Peter's,13,15,1246.22,MAAC,East,1171.428571
Clemson,12,14,1379.74,ACC,East,1169.230769
Florida,12,14,1385.07,SEC,South,1169.230769
La Salle,12,14,1269.08,Atlantic 10,East,1169.230769
William & Mary,6,7,1331.96,CAA,East,1169.230769
Gardner-Webb,11,13,1291.76,Big South,South,1166.666667
South Alabama,11,13,1251.96,Sun Belt,South,1166.666667
Charlotte,10,12,1346.95,AAC,East,1163.636364
Creighton,10,12,1458.63,Big East,East,1163.636364
Army,9,11,1245.55,Patriot,East,1160
Radford,9,11,1274.08,Big South,South,1160
Sacred Heart,8,10,1162.12,NEC,East,1155.555556
Eastern Illinois,11,15,1274.56,OVC,Midwest,1138.461538
Loyola-Chicago,11,15,1281.33,MVC,Midwest,1138.461538
Houston Baptist,8,11,1153.17,NA,NA,1136.842105
Marshall,8,11,1319.89,Sun Belt,South,1136.842105
Northern Kentucky,8,11,1332.59,Horizon,Midwest,1136.842105
Lamar,10,14,1249.01,Southland,South,1133.333333
Navy,5,7,1169.67,Patriot,East,1133.333333
Nicholls,10,14,1214.83,Southland,South,1133.333333
Abilene Christian,9,13,1228.43,WAC,West,1127.272727
LSU,9,13,1463.55,SEC,South,1127.272727
Missouri,9,13,1378.37,SEC,South,1127.272727
Portland State,9,13,1234.2,Big Sky,West,1127.272727
Hofstra,8,12,1219.92,CAA,East,1120
Iona,6,9,1137.79,MAAC,East,1120
New Mexico State,8,12,1198.37,WAC,West,1120
TCU,10,15,1394.63,Big 12,South,1120
UC San Diego,6,9,1147.18,Big West,West,1120
UMKC,8,12,1263.34,WAC,West,1120
UNC Asheville,10,15,1133.7,Big South,South,1120
Davidson,9,14,1217.78,Atlantic 10,East,1113.043478
Albany,7,11,1181.83,MAAC,East,1111.111111
Long Island,7,11,1142.85,NEC,East,1111.111111
Lafayette,5,8,1251.94,Patriot,East,1107.692308
Georgia Southern,8,13,1199.38,Sun Belt,South,1104.761905
Minnesota,8,13,1374.06,Big Ten,Midwest,1104.761905
UAB,8,13,1239.9,AAC,East,1104.761905
Eastern Kentucky,9,15,1178.7,ASUN,South,1100
Penn State,9,15,1326.25,Big Ten,Midwest,1100
Saint Joseph's,6,10,1204.21,Atlantic 10,East,1100
Texas Tech,9,15,1335.89,Big 12,South,1100
Boston College,7,12,1411.77,ACC,East,1094.736842
East Carolina,8,14,1250.56,AAC,East,1090.909091
Furman,8,14,1219.36,SoCon,South,1090.909091
George Washington,8,14,1251.6,Atlantic 10,East,1090.909091
Niagara,4,7,1142.38,MAAC,East,1090.909091
Seattle University,8,14,1127.05,WAC,West,1090.909091
Southern Illinois,9,16,1247.75,MVC,Midwest,1088
Charleston,5,9,1166.65,CAA,East,1085.714286
Incarnate Word,5,9,1158.71,Southland,South,1085.714286
Alcorn State,7,13,1118.73,SWAC,South,1080
Northeastern,7,13,1247.08,CAA,East,1080
Omaha,7,13,1210.98,Summit League,Midwest,1080
Saint John's,8,15,1327.76,Big East,East,1078.26087
Stetson,8,15,1173.53,ASUN,South,1078.26087
Bryant,7,14,1069.55,America East,East,1066.666667
Cincinnati,8,16,1348.17,Big 12,South,1066.666667
Kansas State,9,18,1372.67,Big 12,South,1066.666667
Merrimack,5,10,1198.89,NEC,East,1066.666667
Providence,7,14,1279.77,Big East,East,1066.666667
Southern Miss,6,12,1175.4,C-USA,South,1066.666667
Texas Southern,5,10,1189.3,SWAC,South,1066.666667
UC Riverside,6,12,1068.07,Big West,West,1066.666667
UC Santa Barbara,7,14,1211.11,Big West,West,1066.666667
UNCG,7,14,1208.21,SoCon,South,1066.666667
UNCW,7,14,1209.22,CAA,East,1066.666667
Washington,7,14,1375.58,Pac-12,West,1066.666667
Western Illinois,8,16,1221.72,Summit League,Midwest,1066.666667
Wichita State,6,12,1265.4,AAC,East,1066.666667
Xavier,5,10,1184.79,Big East,East,1066.666667
Binghamton,5,11,1216.72,America East,East,1050
Duquesne,5,11,1211.88,Atlantic 10,East,1050
Norfolk State,4,9,1207.74,MEAC,South,1046.153846
Rider,8,18,1210.47,MAAC,East,1046.153846
Siena,4,9,1156.91,MAAC,East,1046.153846
Denver,7,16,1142.18,Summit League,Midwest,1043.478261
Purdue,7,16,1308.56,Big Ten,Midwest,1043.478261
Western Kentucky,7,16,1240.05,C-USA,South,1043.478261
Akron,6,14,1251.98,MAC,Midwest,1040
UTRGV,6,14,1087.25,WAC,West,1040
Arkansas State,5,12,1111.8,Sun Belt,South,1035.294118
Air Force,7,17,1198.84,Mountain West,West,1033.333333
San Diego State,7,17,1162.47,Mountain West,West,1033.333333
McNeese,6,15,1033.38,Southland,South,1028.571429
New Orleans,6,15,1108.04,Southland,South,1028.571429
Saint Bonaventure,6,15,1137.14,Atlantic 10,East,1028.571429
Saint Francis (NY),4,10,1101.76,NA,NA,1028.571429
South Carolina Upstate,6,15,1129,Big South,South,1028.571429
Western Michigan,6,15,1266.2,MAC,Midwest,1028.571429
Kansas,7,18,1256.16,Big 12,South,1024
North Alabama,7,18,1163.71,ASUN,South,1024
