"Team","Wins","Losses","ELO","Conference","Region"
"Abilene Christian",11,16,1196.69,"WAC","West"
"Air Force",13,17,1253.77,"Mountain West","West"
"Akron",11,18,1229.54,"MAC","Midwest"
"Alabama",24,10,1640.62,"SEC","South"
"Alabama A&M",14,16,1186.44,"SWAC","South"
"Alabama State",3,26,969.12,"SWAC","South"
"Albany",24,7,1393.22,"MAAC","East"
"Alcorn State",11,20,1202.81,"SWAC","South"
"American",10,20,1145.44,"Patriot","East"
"Appalachian State",17,15,1375.65,"Sun Belt","South"
"Arizona",18,16,1543.47,"Pac-12","West"
"Arizona State",11,20,1328.89,"Pac-12","West"
"Arkansas",18,15,1419.31,"SEC","South"
"Arkansas-Pine Bluff",15,16,1222.28,"SWAC","South"
"Arkansas State",12,17,1180.3,"Sun Belt","South"
"Army",10,17,1172.88,"Patriot","East"
"Auburn",20,12,1537.44,"SEC","South"
"Austin Peay",15,15,1278.82,"ASUN","South"
"Ball State",27,6,1561.89,"MAC","Midwest"
"Baylor",26,8,1698.09,"Big 12","South"
"Bellarmine",8,19,1111.95,"ASUN","South"
"Belmont",26,9,1568.47,"MVC","Midwest"
"Bethune-Cookman",12,16,1077.73,"SWAC","South"
"Binghamton",12,17,1215.41,"America East","East"
"Boise State",19,14,1304.28,"Mountain West","West"
"Boston College",14,19,1383.02,"ACC","East"
"Boston University",19,12,1323.41,"Patriot","East"
"Bowling Green",16,15,1292.23,"MAC","Midwest"
"Bradley",5,26,1003.34,"MVC","Midwest"
"Brown",15,11,1319.79,"Ivy League","East"
"Bryant",13,15,1187.06,"America East","East"
"Bucknell",13,18,1269.41,"Patriot","East"
"Buffalo",18,14,1388.63,"MAC","Midwest"
"Butler",14,17,1291.02,"Big East","East"
"BYU",16,17,1411.78,"Big 12","South"
"Cal Poly",17,14,1267.88,"Big West","West"
"Cal State Bakersfield",7,21,1043.84,"Big West","West"
"Cal State Fullerton",10,21,1106.83,"Big West","West"
"Cal State Northridge",3,26,948.54,"Big West","West"
"California",19,15,1472.82,"Pac-12","West"
