"Team","Wins","Losses","ELO","Conference","Region"
"California Baptist",28,4,1575.38,"WAC","West"
"Campbell",15,14,1314.86,"CAA","East"
"Canisius",16,14,1258.29,"MAAC","East"
"Central Arkansas",19,12,1312.36,"ASUN","South"
"Central Connecticut",9,21,1033.84,"NEC","East"
"Central Michigan",5,22,1069.54,"MAC","Midwest"
"Charleston",20,10,1388.47,"CAA","East"
"Charleston Southern",10,19,1119.54,"Big South","South"
"Charlotte",16,15,1301.21,"AAC","East"
"Chattanooga",26,5,1487.57,"SoCon","South"
"Chicago State",0,26,869.68,"NEC","East"
"Cincinnati",14,18,1354.06,"Big 12","South"
"Clemson",12,19,1298.2,"ACC","East"
"Cleveland State",29,6,1557.57,"Horizon","Midwest"
"Coastal Carolina",11,21,1206.99,"Sun Belt","South"
"Colgate",19,14,1317.26,"Patriot","East"
"Colorado",24,10,1622.31,"Pac-12","West"
"Colorado State",19,11,1396.72,"Mountain West","West"
"Columbia",23,7,1589.87,"Ivy League","East"
"Connecticut",32,5,1871.4,"Big East","East"
"Coppin State",12,18,1174.32,"MEAC","South"
"Cornell",7,19,1096.93,"Ivy League","East"
"Creighton",26,6,1685.85,"Big East","East"
"Dartmouth",5,19,1054.81,"Ivy League","East"
"Davidson",18,8,1422.49,"Atlantic 10","East"
"Dayton",10,19,1222.67,"Atlantic 10","East"
"Delaware",11,20,1190.29,"CAA","East"
"Delaware State",5,20,997.02,"MEAC","South"
"Denver",7,22,1110.03,"Summit League","Midwest"
"DePaul",12,20,1277.46,"Big East","East"
"Detroit",17,16,1195.98,"Horizon","Midwest"
"Drake",29,6,1645.32,"MVC","Midwest"
"Drexel",18,15,1469.61,"CAA","East"
"Duke",22,12,1665.71,"ACC","East"
"Duquesne",21,13,1458.63,"Atlantic 10","East"
"East Carolina",19,14,1412.5,"AAC","East"
"East Tennessee State",16,12,1219.72,"SoCon","South"
"Eastern Illinois",15,18,1202.58,"OVC","Midwest"
"Eastern Kentucky",19,12,1257.92,"ASUN","South"
"Eastern Michigan",6,22,1083.44,"MAC","Midwest"
"Eastern Washington",27,6,1534.44,"Big Sky","West"
"Elon",10,20,1186.85,"CAA","East"
"Evansville",4,28,989.26,"MVC","Midwest"
"Fairfield",30,2,1626.28,"MAAC","East"
"Fairleigh Dickinson",13,17,1198.21,"NEC","East"
"FAU",10,19,1214.52,"AAC","East"
"FGCU",27,5,1615.66,"ASUN","South"
"FIU",20,12,1324.16,"C-USA","South"
"Florida",16,16,1443.85,"SEC","South"
"Florida A&M",9,21,1107.01,"SWAC","South"
"Florida State",23,11,1590.19,"ACC","East"
"Fordham",10,17,1284.72,"Atlantic 10","East"
"Fresno State",13,18,1235.21,"Mountain West","West"
"Furman",12,16,1184.57,"SoCon","South"
"Gardner-Webb",6,24,1034.09,"Big South","South"
"George Mason",22,8,1459.47,"Atlantic 10","East"
"George Washington",12,18,1261.69,"Atlantic 10","East"
"Georgetown",23,12,1496.03,"Big East","East"
"Georgia",12,18,1363.92,"SEC","South"
"Georgia Southern",13,18,1157.52,"Sun Belt","South"
"Georgia State",13,15,1221.21,"Sun Belt","South"
"Georgia Tech",17,16,1412.5,"ACC","East"
"Gonzaga",32,4,1718.64,"WCC","West"
"Grambling State",20,10,1354.29,"SWAC","South"
"Grand Canyon",23,8,1429.6,"WAC","West"
"Green Bay",26,7,1557.61,"Horizon","Midwest"
"Hampton",3,26,988.54,"CAA","East"
"Harvard",16,12,1388.66,"Ivy League","East"
"Hawaii",20,11,1427.84,"Big West","West"
"High Point",18,12,1346.39,"Big South","South"
"Hofstra",10,21,1117.83,"CAA","East"
"Holy Cross",20,13,1368.59,"Patriot","East"
"Houston",14,16,1357.54,"Big 12","South"
"Houston Christian",2,23,934.68,"Southland","South"
"Howard",15,16,1300.41,"MEAC","South"
"Idaho",13,16,1238.25,"Big Sky","West"
"Idaho State",10,19,1143.56,"Big Sky","West"
"Illinois",18,15,1547.57,"Big Ten","Midwest"
"Illinois State",21,12,1424.49,"MVC","Midwest"
"Incarnate Word",15,11,1261.71,"Southland","South"
"Indiana",26,6,1738.19,"Big Ten","Midwest"
"Indiana State",11,20,1185.95,"MVC","Midwest"
"Iona",11,19,1119.54,"MAAC","East"
"Iowa",33,4,1861.36,"Big Ten","Midwest"
"Iowa State",21,12,1668.82,"Big 12","South"
"IUPUI",7,23,1146.96,"Horizon","Midwest"
"Jackson State",23,7,1525.49,"SWAC","South"
"Jacksonville",9,20,1168.76,"ASUN","South"
"Jacksonville State",10,17,1240.71,"OVC","Midwest"
"James Madison",22,12,1455.48,"Sun Belt","South"
"Kansas",20,13,1643.96,"Big 12","South"
"Kansas State",26,8,1638.47,"Big 12","South"
"Kennesaw State",9,19,1105.94,"ASUN","South"
"Kent State",19,11,1483.82,"MAC","Midwest"
"Kentucky",12,20,1419.11,"SEC","South"
"La Salle",8,22,1167.77,"Atlantic 10","East"
"Lafayette",10,20,1111.3,"Patriot","East"
"Lamar",22,7,1424.09,"Southland","South"
"Le Moyne",18,15,1256.48,"NEC","East"
"Lehigh",16,13,1262.39,"Patriot","East"
"Liberty",16,16,1439.16,"C-USA","South"
"Lindenwood",6,21,1009.71,"OVC","Midwest"
"Lipscomb",15,13,1246.82,"ASUN","South"
"Little Rock",12,18,1208.88,"OVC","Midwest"
"Long Beach State",14,18,1267.61,"Big West","West"
"Long Island",8,22,981.98,"NEC","East"
"Longwood",7,21,1115.84,"Big South","South"
"Louisiana",15,14,1383.35,"Sun Belt","South"
"Louisiana Tech",12,19,1311.61,"C-USA","South"
"Louisville",24,10,1618.03,"ACC","East"
"Loyola-Chicago",15,16,1319.08,"MVC","Midwest"
"Loyola-Maryland",16,15,1247.22,"Patriot","East"
"Loyola-Marymount",9,19,1199.64,"WCC","West"
"LSU",31,6,1791.64,"SEC","South"
"Maine",24,10,1495.56,"America East","East"
"Manhattan",18,12,1245.84,"MAAC","East"
"Marist",6,25,1011.67,"MAAC","East"
"Marquette",23,9,1549.21,"Big East","East"
"Marshall",24,7,1583.71,"Sun Belt","South"
"Maryland",19,14,1557.13,"Big Ten","Midwest"
"Maryland Eastern Shore",12,15,1183.72,"MEAC","South"
"McNeese",2,25,943.37,"Southland","South"
"Memphis",13,17,1366.16,"AAC","East"
"Mercer",15,17,1320.37,"SoCon","South"
"Merrimack",12,19,1086.82,"NEC","East"
"Miami (FL)",19,12,1509.11,"ACC","East"
"Miami (OH)",9,20,1179.91,"MAC","Midwest"
"Michigan",20,14,1516.99,"Big Ten","Midwest"
"Michigan State",22,9,1562.26,"Big Ten","Midwest"
"Middle Tennessee",30,5,1674.86,"C-USA","South"
"Milwaukee",14,16,1247.14,"Horizon","Midwest"
"Minnesota",19,15,1435.17,"Big Ten","Midwest"
"Mississippi State",23,12,1503.06,"SEC","South"
"Mississippi Valley State",4,27,954.54,"SWAC","South"
"Missouri",11,19,1300.9,"SEC","South"
"Missouri State",23,10,1490.46,"MVC","Midwest"
"Monmouth",21,10,1435,"CAA","East"
"Montana",22,10,1415.6,"Big Sky","West"
"Montana State",17,16,1311.56,"Big Sky","West"
"Morehead State",12,15,1127.06,"OVC","Midwest"
"Morgan State",6,20,1062.26,"MEAC","South"
"Mount Saint Mary's",14,17,1247.89,"NEC","East"
"Murray State",19,12,1354.68,"OVC","Midwest"
"Navy",12,17,1244.45,"Patriot","East"
"Nebraska",23,12,1597.87,"Big Ten","Midwest"
"Nevada",15,16,1308.6,"Mountain West","West"
"New Hampshire",8,20,1028.56,"America East","East"
"New Mexico",20,11,1392.56,"Mountain West","West"
"New Mexico State",12,18,1213.96,"WAC","West"
"New Orleans",11,19,1099.69,"Southland","South"
"Niagara",21,14,1422.54,"MAAC","East"
"Nicholls",11,18,1094.57,"Southland","South"
"NJIT",12,18,1147.37,"America East","East"
"Norfolk State",26,6,1469.12,"MEAC","South"
"North Alabama",10,18,1174.34,"ASUN","South"
"North Carolina",20,13,1586.4,"ACC","East"
"North Carolina A&T",20,12,1400.71,"MEAC","South"
"North Carolina Central",13,15,1187.84,"MEAC","South"
"North Carolina State",31,6,1825.69,"ACC","East"
"North Dakota",7,20,1130.12,"Summit League","Midwest"
"North Dakota State",20,12,1442.51,"Summit League","Midwest"
"North Florida",6,21,1048.16,"ASUN","South"
"North Texas",22,9,1441.38,"AAC","East"
"Northeastern",10,17,1158.61,"CAA","East"
"Northern Arizona",24,10,1447.19,"Big Sky","West"
"Northern Colorado",13,16,1248.7,"Big Sky","West"
"Northern Illinois",14,16,1274.36,"MAC","Midwest"
"Northern Iowa",16,16,1429.31,"MVC","Midwest"
"Northern Kentucky",10,20,1262.94,"Horizon","Midwest"
"Northwestern",9,21,1254.51,"Big Ten","Midwest"
"Northwestern State",9,19,1074.72,"Southland","South"
"Notre Dame",28,7,1800.52,"ACC","East"
"Oakland",10,17,1202.82,"Horizon","Midwest"
"Ohio",11,19,1238.16,"MAC","Midwest"
"Ohio State",25,6,1711.27,"Big Ten","Midwest"
"Oklahoma",23,10,1681.98,"Big 12","South"
"Oklahoma State",14,16,1424.49,"Big 12","South"
"Old Dominion",21,10,1442.45,"Sun Belt","South"
"Ole Miss",24,9,1670.04,"SEC","South"
"Omaha",6,23,1105.03,"Summit League","Midwest"
"Oral Roberts",17,11,1362.96,"Summit League","Midwest"
"Oregon",11,21,1312.09,"Pac-12","West"
"Oregon State",27,8,1725.53,"Pac-12","West"
"Pacific",18,15,1343.97,"WCC","West"
"Penn",13,13,1339.73,"Ivy League","East"
"Penn State",22,13,1532.15,"Big Ten","Midwest"
"Pepperdine",3,25,994.88,"WCC","West"
"Pittsburgh",8,24,1203.66,"ACC","East"
"Portland",19,13,1464.88,"WCC","West"
"Portland State",6,23,1030.26,"Big Sky","West"
"Prairie View A&M",8,18,1085.19,"SWAC","South"
"Presbyterian College",18,15,1299.36,"Big South","South"
"Princeton",25,5,1651.57,"Ivy League","East"
"Providence",13,21,1244.03,"Big East","East"
"Purdue",15,19,1393.24,"Big Ten","Midwest"
"Purdue Fort Wayne",21,13,1383.98,"Horizon","Midwest"
"Queens",4,22,937.74,NA,"South"
"Quinnipiac",13,18,1213.03,"MAAC","East"
"Radford",14,18,1169.87,"Big South","South"
"Rhode Island",21,14,1454.12,"Atlantic 10","East"
"Rice",19,15,1442.79,"AAC","East"
"Richmond",29,6,1618.5,"Atlantic 10","East"
"Rider",10,21,1140.23,"MAAC","East"
"Robert Morris",4,24,992.15,"Horizon","Midwest"
"Rutgers",8,24,1192.37,"Big Ten","Midwest"
"Sacramento State",6,25,1090.93,"Big Sky","West"
"Sacred Heart",22,10,1338.93,"NEC","East"
"Saint Bonaventure",4,26,993.29,"Atlantic 10","East"
"Saint Francis (PA)",5,25,933.36,"NEC","East"
"Saint John's",18,15,1445.38,"Big East","East"
"Saint Joseph's",28,6,1556.12,"Atlantic 10","East"
"Saint Louis",18,18,1460.78,"Atlantic 10","East"
"Saint Mary's College",12,18,1223.11,"WCC","West"
"Saint Peter's",7,23,1034.38,"MAAC","East"
"Saint Thomas",13,16,1190.12,"Summit League","Midwest"
"Sam Houston State",5,22,1059.65,"Southland","South"
"Samford",11,16,1188.9,"SoCon","South"
"San Diego",8,22,1180.95,"WCC","West"
"San Diego State",20,13,1405.91,"Mountain West","West"
"San Francisco",13,16,1352.58,"WCC","West"
"San Jose State",6,24,1022.75,"Mountain West","West"
"Santa Clara",23,9,1481.56,"WCC","West"
"Seattle University",6,23,1118.19,"WAC","West"
"Seton Hall",17,15,1423.29,"Big East","East"
"Siena",18,12,1348.61,"MAAC","East"
"SIUE",4,26,946.54,"OVC","Midwest"
"SMU",14,16,1295.14,"AAC","East"
"South Alabama",7,23,1043.16,"Sun Belt","South"
"South Carolina",36,0,1978.84,"SEC","South"
"South Carolina State",2,28,887.48,"MEAC","South"
"South Carolina Upstate",15,16,1174.8,"Big South","South"
"South Dakota",20,13,1404.44,"Summit League","Midwest"
"South Dakota State",25,6,1631.44,"Summit League","Midwest"
"South Florida",19,14,1406.61,"AAC","East"
"Southeast Missouri",7,20,1055.63,"OVC","Midwest"
"Southeastern Louisiana",16,12,1291.03,"Southland","South"
"Southern",14,15,1272,"SWAC","South"
"Southern Illinois",11,20,1199.27,"MVC","Midwest"
"Southern Indiana",23,7,1401.01,NA,"South"
"Southern Miss",19,14,1363.05,"C-USA","South"
"Southern Utah",7,22,1102.7,"WAC","West"
"Stanford",30,6,1762.35,"Pac-12","West"
"Stephen F. Austin",20,12,1419.85,"Southland","South"
"Stetson",15,15,1305.7,"ASUN","South"
"Stonehill",4,26,913.12,"NEC","East"
"Stony Brook",28,5,1547.76,"CAA","East"
"Syracuse",24,8,1611.07,"ACC","East"
"Tarleton State",10,20,1176.22,"WAC","West"
"TCU",20,12,1477.86,"Big 12","South"
"Temple",20,12,1461.54,"AAC","East"
"Tennessee",20,13,1657.04,"SEC","South"
"Tennessee-Martin",15,17,1247.54,"OVC","Midwest"
"Tennessee State",9,19,1111.41,"OVC","Midwest"
"Tennessee Tech",14,15,1232.88,"OVC","Midwest"
"Texas",33,5,1831.68,"Big 12","South"
"Texas A&M",19,13,1482.17,"SEC","South"
"Texas A&M-Commerce",13,16,1192.27,"Southland","South"
"Texas A&M-Corpus Christi",19,9,1409.9,"Southland","South"
"Texas Southern",6,22,1072.73,"SWAC","South"
"Texas State",12,18,1168.5,"Sun Belt","South"
"Texas Tech",17,16,1356.37,"Big 12","South"
"Toledo",27,6,1608.9,"MAC","Midwest"
"Towson",20,11,1419.71,"CAA","East"
"Troy",22,11,1528.03,"Sun Belt","South"
"Tulane",12,20,1258.39,"AAC","East"
"Tulsa",25,10,1509.44,"AAC","East"
"UAB",17,14,1255.3,"AAC","East"
"UC Davis",18,14,1373.48,"Big West","West"
"UC Irvine",23,9,1459.44,"Big West","West"
"UC Riverside",16,14,1294.79,"Big West","West"
"UC San Diego",10,19,1141.35,"Big West","West"
"UC Santa Barbara",14,15,1161.79,"Big West","West"
"UCF",11,17,1317.41,"Big 12","South"
"UCLA",27,7,1730.11,"Pac-12","West"
"UIC",18,16,1263.79,"MVC","Midwest"
"ULM",19,14,1338.1,"Sun Belt","South"
"UMass",5,27,1126.04,"Atlantic 10","East"
"UMass-Lowell",4,25,998.54,"America East","East"
"UMBC",8,19,1092.53,"America East","East"
"UMKC",10,20,1118.26,"WAC","West"
"UNC Asheville",9,20,1033.99,"Big South","South"
"UNCG",17,12,1299.89,"SoCon","South"
"UNCW",4,25,992.94,"CAA","East"
"UNLV",30,3,1657.61,"Mountain West","West"
"USC",29,6,1786.96,"Pac-12","West"
"UTA",17,16,1339.48,"Sun Belt","South"
"Utah",21,11,1626.84,"Pac-12","West"
"Utah State",4,24,1028.92,"Mountain West","West"
"Utah Tech",16,14,1283.86,"WAC","West"
"Utah Valley",9,19,1125,"WAC","West"
"UTEP",10,19,1205.95,"C-USA","South"
"UTRGV",6,23,1063.07,"WAC","West"
"UTSA",18,15,1367.21,"AAC","East"
"Valparaiso",5,25,1052.97,"MVC","Midwest"
"Vanderbilt",23,10,1560.45,"SEC","South"
"VCU",25,6,1550.7,"Atlantic 10","East"
"Vermont",24,11,1473.97,"America East","East"
"Villanova",22,12,1602.35,"Big East","East"
"Virginia",16,16,1449.03,"ACC","East"
"Virginia Tech",25,8,1692.14,"ACC","East"
"Wagner",6,21,977.53,"NEC","East"
"Wake Forest",7,25,1268.61,"ACC","East"
"Washington",16,15,1420.13,"Pac-12","West"
"Washington State",21,15,1532.09,"Pac-12","West"
"Weber State",7,25,1062.31,"Big Sky","West"
"West Virginia",25,8,1614.02,"Big 12","South"
"Western Carolina",3,24,953.03,"SoCon","South"
"Western Illinois",14,12,1165.29,"Summit League","Midwest"
"Western Kentucky",14,17,1204.85,"C-USA","South"
"Western Michigan",11,18,1196.67,"MAC","Midwest"
"Wichita State",10,22,1219.37,"AAC","East"
"William & Mary",15,14,1273.28,"CAA","East"
"Winthrop",11,16,1137.56,"Big South","South"
"Wisconsin",15,17,1381.9,"Big Ten","Midwest"
"Wofford",13,13,1263.75,"SoCon","South"
"Wright State",16,15,1300.88,"Horizon","Midwest"
"Wyoming",17,15,1355.79,"Mountain West","West"
"Xavier",1,27,1017.44,"Big East","East"
"Yale",8,19,1230.43,"Ivy League","East"
"Youngstown State",13,18,1292.31,"Horizon","Midwest"
